"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"SolidVC : a decentralized framework for Verifiable Credentials on the web","https://scispace.com/paper/solidvc-a-decentralized-framework-for-verifiable-credentials-3jmff94pd2","2019","Dissertation","","Kayode Yadilichi. Ezike","","","Credentials are an integral part of our lives, as they express our capabilities and enable access to restricted services and benefits. In the early 2010s, the Verifiable Claims Working Group of the World Wide Web Consortium (W3C) proposed a specification for what is now the Verifiable Credentials Data Model. This living specification, which is still in development, outlines a cogent framework for the issuance, storage, presentation, and verification of credentials on the Web. Many of the leading Verifiable Credentials projects leverage Distributed Ledger Technology (DLT), potentially compromising Web interoperability and sometimes exposing otherwise personal data. SolidVC is a decentralized Verifiable Credentials platform built with the open protocols of the Web. It is implemented on top of Solid, a Web framework developed at MIT in 2016 that allows decentralized applications to interact with personal user data to provide services in an access controlled environment. Thesis Supervisor: Lalana Kagal Title: Principal Research Scientist","SolidVC is a decentralized Verifiable Credentials platform built with the open protocols of the Web, implemented on top of Solid, a Web framework developed at MIT in 2016 that allows decentralized applications to interact with personal user data to provide services in an access controlled environment."
"On Ontology, ontologies, Conceptualizations, Modeling Languages, and (Meta)Models.","https://scispace.com/paper/on-ontology-ontologies-conceptualizations-modeling-languages-3al0flfqzm","2006","","","Giancarlo Guizzardi","","","In philosophy, the term ontology has been used since the 17th century to refer both to a philosophical discipline (Ontology with a capital “O”), and as a domain-independent system of categories that can be used in the conceptualization of domain-specific scientific theories. In the past decades there has been a growing interest in the subject of ontology in computer and information sciences. In the last few years, this interest has expanded considerably in the context of the Semantic Web and MDA (Model-Driven Architecture) research efforts, and due to the role ontologies are perceived to play in these initiatives. In this paper, we explore the relations between Ontology and ontologies in the philosophical sense with domain ontologies in computer science. Moreover, we elaborate on formal characterizations for the notions of ontology, conceptualization and metamodel, as well as on the relations between these notions. Additionally, we discuss a set of criteria that a modeling language should meet in order to be considered a suitable language to model phenomena in a given domain, and present a systematic framework for language evaluation and design. Furthermore, we argue for the importance of ontology in both philosophical senses aforementioned for designing and evaluating a suitable general ontology representation language, and we address the question whether the so-called Ontology Web languages can be considered as suitable general ontology representation languages. Finally, we motivate the need for two complementary classes of modeling languages in Ontology Engineering addressing two separate sets of concerns.","This paper argues for the importance of ontology in both philosophical senses for designing and evaluating a suitable general ontology representation language, and addresses the question whether the so-called Ontology Web languages can be considered as suitable generalontology representation languages."
"OntoROPA D2: Proposed Design Specification and Approach","https://scispace.com/paper/ontoropa-d2-proposed-design-specification-and-approach-gq69r10aqx7i","2021","Journal Article","","Casanovas Pompeu
Alvite-Díez, María-Luisa","10.5281/zenodo.4930888","","&amp;lt;p&amp;gt;Deliverable 2 of OntoROPA&amp;nbsp; Research Project&amp;nbsp;for NGI&amp;nbsp;ONTOCHAIN (H2020 n&amp;deg; 957338).&amp;nbsp;OntoROPA design specification&amp;nbsp;is focused on a modular, distributed, and ontological approach for the design of two layers&amp;mdash;software and data&amp;mdash;where each module is the answer to a legal requirement. Data comply with standards for the aim of interoperability, and the design of both layers are subjected to a legal governance scheme, specifically set to harmonize an innovative design for the marketplace within a law, policy, and ethics framework. On top of that, Deliverable 2 explores the possibilities that blockchain technology offers: the use of TEE for secure processing, the use of verifiable credentials with standard certificates for identity management, and the use of oracles for accessing external services.&amp;lt;/p&amp;gt; ",""
"First steps toward a Verification and Validation Ontology","https://scispace.com/paper/first-steps-toward-a-verification-and-validation-ontology-1o5w9pz7wv","2012","","","Mounira Kezadri
Marc Pantel","","https://hal.archives-ouvertes.fr/hal-02189894/document","This paper presents the key elements of an ontology that formalizes part of the knowledge about behavioural modeling and the associated verification and validation technologies. It summarizes the concepts existing in this area of interest and the relationships among them. We propose a classification of different modeling formalisms and a representation of possible verification and validation methods. A system is represented using several views conforming to different modeling languages. Its properties can be assessed with verification and validation technologies. We also describe existing V&V tools and how they are related to the other elements.","This paper presents the key elements of an ontology that formalizes part of the knowledge about behavioural modeling and the associated verification and validation technologies and proposes a classification of different modeling formalisms and a representation of possible verification and validate methods."
"Trust Me If You Can: Trusted Transformation Between (JSON) Schemas to Support Global Authentication of Education Credentials","https://scispace.com/paper/trust-me-if-you-can-trusted-transformation-between-json-tn869eyqmlmk","2022","Repository","","More, Stefan
Grassberger, Peter
Horandner Felix
Klausner, Lukas Daniel","10.48550/arxiv.2106.12793","","Recruiters and institutions around the world struggle with the verification of diplomas issued in a diverse and global education setting. Firstly, it is a nontrivial problem to identify bogus institutions selling education credentials. While institutions are often accredited by qualified authorities on a regional level, there is no global authority fulfilling this task. Secondly, many different data schemas are used to encode education credentials, which represents a considerable challenge to automated processing. Consequently, significant manual effort is required to verify credentials. In this paper, we tackle these challenges by introducing a decentralized and open system to automatically verify the legitimacy of issuers and interpret credentials in unknown schemas. We do so by enabling participants to publish transformation information, which enables verifiers to transform credentials into their preferred schema. Due to the lack of a global root of trust, we utilize a distributed ledger to build a decentralized web of trust, which verifiers can query to gather information on the trustworthiness of issuing institutions and to establish trust in transformation information. Going beyond diploma fraud, our system can be generalized to tackle the generalized problem for other domains lacking a root of trust and agreements on data schemas. ",""
"First steps toward a verification and validation ontology","https://scispace.com/paper/first-steps-toward-a-verification-and-validation-ontology-4mv0eln224","2010","Proceedings Article","International Conference on Knowledge Engineering and Ontology Development","Mounira Kezadri
Marc Pantel","","https://scispace.com/pdf/first-steps-toward-a-verification-and-validation-ontology-4mv0eln224.pdf","This paper presents the key elements of an ontology that formalizes part of the knowledge about behavioural modeling and the associated verification and validation technologies. It summarizes the concepts existing in this area of interest and the relationships among them. We propose a classification of different modeling formalisms and a representation of possible verification and validation methods. A system is represented using several views conforming to different modeling languages. Its properties can be assessed with verification and validation technologies. We also describe existing V&V tools and how they are related to the other elements.","In this paper, the authors present the key elements of an ontology that formalizes part of the knowledge about behavioural modeling and associated verification and validation technologies, and describe existing V&V tools and how they are related to the other elements."
"Decentralized Identity Management and Blockchains: Design Patterns and Architectures","https://scispace.com/paper/decentralized-identity-management-and-blockchains-design-26k8gmex08","2023","Book Chapter","Advances in information security","Hye-Young Paik
Yue Liu
Qinghua Lu
Salil S. Kanhere","10.1007/978-3-031-32146-7_15","","Securely and efficiently managing digital identities is a pre-requisite to enabling prosperous digital service economy underpinned by trust. The concept of digital identity goes beyond just providing a credential for logins. A truly effective digital identity scheme should be able to model the observations that people, throughout their life, tend to carry many different senses of ""identities"" (or personas) and each identity is fused with different sets of personal artefacts overtime. Of course, digitizing all aspects of a person's identity must be supported by the highest level of security and privacy protection possible. A decentralized identity management aims to provide an individual with a platform to manage multiple identities and associated artefacts for different contexts. More importantly, the users will exert full control over their identities in terms of when and with whom the identity is formed and shared with others, without having to rely on a centralised identity provider. A distributed ledger technology like blockchain can play a vital role in the design and implementation of a decentralised identity management scheme. Indeed, a decentralised identity management scheme such as self-sovereign identity (SSI) has been acclaimed the ""killer app of Blockchain"". This chapter aims to introduce the foundational concept and motivation of decentralised identity management, examine the current state of the art and present a set of software design patterns that could help guide the designers and developers of decentralised identity management systems. ","Decentralised Identity Management and Blockchains explores the concept of managing digital identities in a decentralized manner, leveraging blockchain technology to empower individuals with full control over their identities."
"Building a TOGAF Based Ontology of HERM","https://scispace.com/paper/building-a-togaf-based-ontology-of-herm-4f8p51rhtzz3","2025","Journal Article","EPiC series in computing","Markus von der Heyde
Andreas Hartmann
Matthias Goebel","10.29007/5cjg","https://scispace.compdf/building-a-togaf-based-ontology-of-herm-4f8p51rhtzz3.pdf","Integrating ontologies, which structure knowledge for the Semantic Web, Enterprise Architecture Management (EAM) standards such as TOGAF® provide a robust foundation for guiding digital transformation in complex ecosystems. The Higher Education Reference Models (HERM), a widely adopted Enterprise Reference Architecture in higher education institutions, serve as a structured framework worldwide. This paper presents the development of a comprehensive RDF-based ontology for HERM, firmly aligned with TOGAF's Metamodel. It details the ontology's class hierarchies, the challenges of semantic mapping to TOGAF, and the automated transformation process from HERM spreadsheets into RDF representations. The ontology captures English and German terminology, with built-in support for additional languages. All results, including tools and ontology files, are made available via Zenodo, ensuring accessibility and further development within the HERM community. ",""
"The Reilly EternaMark Metadata Language (REMML): A Cross-Verifiable Standard Linking DOI, Blockchain, and Hash Provenance","https://scispace.com/paper/the-reilly-eternamark-metadata-language-remml-a-cross-ugp1irzn1cqm","2025","Journal Article","","","10.5281/zenodo.17429955","","The Reilly EternaMark Metadata Language (REMML) defines the metadata core of the Reilly EternaMark Protocol (REM), a dual-layer permanence framework linking blockchain timestamping, DOI archiving, and cryptographic hashing into one verifiable system of digital provenance. REMML (Reilly EternaMark Metadata Language) v1.0 is a programming language where cryptographic permanence, provenance, and verification are first-class primitives. This specification defines the complete language including type system (permanent<T>, verifiable<T>, witnessed<T>), core operations (preserve(), timestamp(), verify(), attest()), standard library, AI-specific features, and formal semantics. Co-created by Lawrence John Reilly Jr and Claude AI, REMML enables AI systems to create permanently verifiable records across blockchain, DOI archives, and distributed systems. This is the first programming language specification designed for gatekeeper-free knowledge preservation REMML introduces a cross-verifiable JSON-LD schema that unifies: Data Integrity: SHA-256 content hash verification. Blockchain Proof: Timestamp and TXID on the Bitcoin network via OpenTimestamps. Institutional Persistence: DOI registration within scholarly or institutional archives. Designed for long-term verification and interoperability, REMML aligns with DataCite, W3C PROV, ISO OAIS, and IETF SCITT standards. It includes schema definitions, manifest templates, verification algorithms, and governance policies for versioned, audit-ready digital records. By combining institutional DOI permanence with public blockchain immutability, REMML delivers tri-verified provenance — ensuring authenticity, authorship, and recoverability of any digital work. This publication is timestamped on the Bitcoin blockchain and DOI-archived via Zenodo, providing a permanent and tamper-evident proof of existence. Keywords: Blockchain, Metadata, DOI, Provenance, OpenTimestamps, SHA-256, JSON-LD, Digital Preservation, SCITT, OAIS, Compliance, Integrity, Dual-Layer Permanence . ",""
"The Soberana Ontology: Modeling Business Ecosystems for International Data Spaces","https://scispace.com/paper/the-soberana-ontology-modeling-business-ecosystems-for-t0s9i2j187wa","2025","Journal Article","Frontiers in artificial intelligence and applications","M. K. Cunha
Patrício de Alencar Silva
João Moreira
Glenda Amaral","10.3233/faia250497","","Data, specially those related to confidential information, plays a crucial role in contemporary organizational operations. The need to exchange information among modern entities in a multi-national context has led to the emergence of the International Data Spaces (IDS) as an option that promotes security, sovereignty, and reliability in data exchange. Enabling organizations to understand the value generated by the data and the relationships between the parties involved is a major challenge, which can be addressed through explicit business models. The objective of this research is to develop a solution to derive and formalize business models for data-sharing agreements in IDS. The Design Science Research Methodology was adopted. During the problem investigation phase, we identified the lack of explicit business models for IDS and its associated requirements. In the treatment design phase, we applied the Systematic Approach for Building Ontologies to develop the Soberana ontology that serves as a model factory for business models in IDS. Finally, in the treatment validation phase, we used SPARQL to demonstrate how the ontology addresses the competency questions covered by the Ontology Requirements Specification Document. A practical demonstration of the use of the ontology with synthetic data resulted in the derivation of data-sharing agreement models in different ecosystem organizations present in the literature. The Soberana ontology provides a contribution to enable organizations to formulate business strategies, understand the functioning of IDS, and analyze data-sharing agreements. ","This research develops the Soberana ontology, a model factory for business models in International Data Spaces, using Design Science Research Methodology, to enable organizations to understand data value, relationships, and formulate business strategies in multi-national data exchange."
"First Steps Toward a Verification and Validation Ontology.","https://scispace.com/paper/first-steps-toward-a-verification-and-validation-ontology-m05o7uubsscc","","","","Mounira Kezadri
Marc Pantel","10.5220/0003102904400444","","This paper presents the key elements of an ontology that formalizes part of the knowledge about behavioural modeling and the associated verification and validation technologies. It summarizes the objects, concepts, and other entities that are assumed to exist in this area of interest and the relationships that hold among them. We propose a classification of different modeling formalisms and a representation of possible verification and validation methods. A system is represented using several views conforming to different modeling languages. Its properties can be assessed with verification and validation technologies.","This paper introduces a verification and validation ontology, formalizing knowledge on behavioral modeling, verification, and validation technologies, including classification of modeling formalisms and representation of verification and validation methods."
"Ontology-Driven Modeling and Integration of Production Processes in Advanced Driver-Assistance Systems within the Gaia-X Ecosystem","https://scispace.com/paper/ontology-driven-modeling-and-integration-of-production-73gb8pa5hx0t","2025","Journal Article","","Leonid Koval
Sonja Wächter
Hüseyin Erdem
Daniel Großmann","10.1109/iccta65425.2025.11166225","","Integrating semantic technologies, particularly ontologies, into production processes represents a significant advancement in achieving interoperability and efficiency in modern manufacturing. This paper systematically models production processes through ontologies tailored for assistive and autonomous driving systems. The focus lies on capturing critical parameters and process steps, structuring them into machine-readable formats to facilitate semantic interoperability and enhance process traceability.The ontology development was conducted using the Web Ontology Language (OWL) and the Protégé tool, supported by Shape Constraint Language (SHACL) for validation and JSON-LD for data serialization. The ontologies were designed to be flexible and modular, enabling their applicability beyond the modeled processes while adhering to Gaia-X guidelines for data ecosystems. The successful integration into the Gaia-X platform was achieved by creating compliant ontology files, rigorous validation, and a structured deployment process. This demonstrates a replicable framework for the semantic representation and sharing of production knowledge within collaborative environments.The results highlight the potential of ontologies for enhancing manufacturing processes and provide a foundation for their broader application in intelligent production systems. This work contributes to the growing body of research on semantic technologies in manufacturing, offering insights into scalable, standardized, and interoperable solutions for Industry 4.0 and beyond.","This paper integrates ontologies into production processes for advanced driver-assistance systems, using OWL and Protégé, to achieve semantic interoperability and process traceability within the Gaia-X ecosystem, demonstrating a replicable framework for Industry 4.0."
"The Reilly EternaMark Metadata Language (REMML): A Cross-Verifiable Standard Linking DOI, Blockchain, and Hash Provenance","https://scispace.com/paper/the-reilly-eternamark-metadata-language-remml-a-cross-iatst6a2kzlu","2025","Journal Article","","","10.5281/zenodo.17431531","","&lt;p&gt;The Reilly EternaMark Metadata Language (REMML) defines the metadata core of the Reilly EternaMark Protocol (REM), a dual-layer permanence framework linking blockchain timestamping, DOI archiving, and cryptographic hashing into one verifiable system of digital provenance.&lt;/p&gt; &lt;p&gt;REMML (Reilly EternaMark Metadata Language) v1.0 is a programming language where cryptographic permanence, provenance, and verification are first-class primitives. This specification defines the complete language including type system (permanent&lt;T&gt;, verifiable&lt;T&gt;, witnessed&lt;T&gt;), core operations (preserve(), timestamp(), verify(), attest()), standard library, AI-specific features, and formal semantics. Co-created by Lawrence John Reilly Jr and Claude AI, REMML enables AI systems to create permanently verifiable records across blockchain, DOI archives, and distributed systems. This is the first programming language specification designed for gatekeeper-free knowledge preservation&lt;/p&gt; &lt;p&gt;REMML introduces a cross-verifiable JSON-LD schema that unifies:&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;Data Integrity: SHA-256 content hash verification.&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;Blockchain Proof: Timestamp and TXID on the Bitcoin network via OpenTimestamps.&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;Institutional Persistence: DOI registration within scholarly or institutional archives.&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;Designed for long-term verification and interoperability, REMML aligns with DataCite, W3C PROV, ISO OAIS, and IETF SCITT standards.&lt;/p&gt; &lt;p&gt;It includes schema definitions, manifest templates, verification algorithms, and governance policies for versioned, audit-ready digital records.&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;By combining institutional DOI permanence with public blockchain immutability, REMML delivers tri-verified provenance &mdash; ensuring authenticity, authorship, and recoverability of any digital work.&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;This publication is timestamped on the Bitcoin blockchain and DOI-archived via Zenodo, providing a permanent and tamper-evident proof of existence.&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;Keywords: Blockchain, Metadata, DOI, Provenance, OpenTimestamps, SHA-256, JSON-LD, Digital Preservation, SCITT, OAIS, Compliance, Integrity, Dual-Layer Permanence&lt;/p&gt; &lt;p&gt;.&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; &lt;p&gt;&nbsp;&lt;/p&gt; ",""
