"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Bottom-up Trust Registry in Self Sovereign Identity","https://scispace.com/paper/http://arxiv.org/abs/2208.04624v1","2022","Preprint","","Kai Jun Eer
Jesus Diaz
Markulf Kohlweiss","","https://arxiv.org/pdf/2208.04624v1","Self sovereign identity is a form of decentralised credential management. During credential verification, data exchange only happens between the data owner and the verifier without passing through any third parties. While this approach offers a privacy-centric solution, it poses a challenge. How do verifiers trust that the credential is vouched by a trusted source? More specifically, how do verifiers know that the issuer has the reputation or is authorised to issue the credential? In this paper, we propose a trust registry design that handles the aspect of human trust in self sovereign identity. We also introduce an incentivisation mechanism for the trust registry in order to motivate each stakeholder to participate actively and honestly."
"SAFE: A Declarative Trust Management System with Linked Credentials","https://scispace.com/paper/http://arxiv.org/abs/1510.04629v2","2015","Preprint","","Vamsi Thummala
Jeff Chase","","https://arxiv.org/pdf/1510.04629v2","We present SAFE, an integrated system for managing trust using a logic-based declarative language. Logical trust systems authorize each request by constructing a proof from a context---a set of authenticated logic statements representing credentials and policies issued by various principals in a networked system.
  A key barrier to practical use of logical trust systems is the problem of managing proof contexts: identifying, validating, and assembling the credentials and policies that are relevant to each trust decision. This paper describes a new approach to managing proof contexts using context linking and caching. Credentials and policies are stored as certified logic sets named by secure identifiers in a shared key-value store. SAFE offers language constructs to build and modify logic sets, link sets to form unions, pass them by reference, and add them to proof contexts. SAFE fetches and validates credential sets on demand and caches them in the authorizer. We evaluate and discuss our experience using SAFE to build secure services based on case studies drawn from practice: a secure name service resolver, a secure proxy shim for a key value store, and an authorization module for a networked infrastructure-as-a-service system with a federated trust structure."
"Building Effective Virtual Teams: How to Overcome the Problems of Trust and Identity in Virtual Teams","https://scispace.com/paper/http://arxiv.org/abs/1404.7761v1","2014","Preprint","","Chris Kimble","10.1002/joe.20364","https://arxiv.org/pdf/1404.7761v1","This article explores some of the challenges faced when managing virtual teams, in particular the role played by trust and identity in virtual teams. It outlines why teams and virtual teams have become a valuable part of the modern organization and presents ten short case studies that illustrate the range of activities in which virtual teams can be found. Following this, the article examines some of the common problems encountered in virtual team working. It discusses two broad classes of solutions. The first are solutions that are essentially technical in nature (i.e., where changes to or improvements in technology would help to solve or ameliorate the problem); the second are more organizationally based (i.e., where the root of the problem is in people and how they are managed). The article concludes that both the technical and the organizational solutions need to be considered in parallel if an attempt to build an effective virtual team is to be successful."
"Asymmetric Distributed Trust","https://scispace.com/paper/http://arxiv.org/abs/1906.09314v2","2019","Preprint","","Orestis Alpos
Christian Cachin
Björn Tackmann
Luca Zanolini","","https://arxiv.org/pdf/1906.09314v2","Quorum systems are a key abstraction in distributed fault-tolerant computing for capturing trust assumptions. They can be found at the core of many algorithms for implementing reliable broadcasts, shared memory, consensus and other problems. This paper introduces asymmetric Byzantine quorum systems that model subjective trust. Every process is free to choose which combinations of other processes it trusts and which ones it considers faulty. Asymmetric quorum systems strictly generalize standard Byzantine quorum systems, which have only one global trust assumption for all processes. This work also presents protocols that implement abstractions of shared memory, broadcast primitives, and a consensus protocol among processes prone to Byzantine faults and asymmetric trust. The model and protocols pave the way for realizing more elaborate algorithms with asymmetric trust."
"Towards a trustful digital world: exploring self-sovereign identity ecosystems","https://scispace.com/paper/http://arxiv.org/abs/2105.15131v3","2021","Preprint","","Gabriella Laatikainen
Taija Kolehmainen
Mengcheng Li
Markus Hautala
Antti Kettunen
Pekka Abrahamsson","","https://arxiv.org/pdf/2105.15131v3","In the current global situation-burdened by, among others, a vast number of people without formal identification, digital leap, the need for health passports and contact tracking applications-providing private and secure digital identity for individuals, organizations and other entities is crucial. The emerging self-sovereign identity (SSI) solutions rely on distributed ledger technologies and verifiable credentials and have the potential to enable trustful digital interactions. In this human-centric paradigm, trust among actors can be established in a decentralized manner while the identity holders are able to own and control their confidential data. In this paper, we build on observations gathered in a field study to identify the building blocks, antecedents and possible outcomes of SSI ecosystems. We also showcase opportunities for researchers and practitioners to investigate this phenomenon from a wide range of domains and theories, such as the digital innovation ecosystems, value co-creation, surveillance theory, or entrepreneurship theories."
"Remote Credential Management with Mutual Attestation for Trusted Execution Environments","https://scispace.com/paper/http://arxiv.org/abs/1804.10707v2","2018","Preprint","","Carlton Shepherd
Raja N. Akram
Konstantinos Markantonakis","","https://arxiv.org/pdf/1804.10707v2","Trusted Execution Environments (TEEs) are rapidly emerging as a root-of-trust for protecting sensitive applications and data using hardware-backed isolated worlds of execution. TEEs provide robust assurances regarding critical algorithm execution, tamper-resistant credential storage, and platform integrity using remote attestation. However, the challenge of remotely managing credentials between TEEs remains largely unaddressed in existing literature. In this work, we present novel protocols using mutual attestation for supporting four aspects of secure remote credential management with TEEs: backups, updates, migration, and revocation. The proposed protocols are agnostic to the underlying TEE implementation and subjected to formal verification using Scyther, which found no attacks."
"SecureBank: A Financially-Aware Zero Trust Architecture for High-Assurance Banking Systems","https://scispace.com/paper/http://arxiv.org/abs/2512.23124v1","2025","Preprint","","Paulo Fernandes Biao","","https://arxiv.org/pdf/2512.23124v1","Financial institutions increasingly rely on distributed architectures, open banking APIs, cloud native infrastructures, and high frequency digital transactions. These transformations expand the attack surface and expose limitations in traditional perimeter based security models. While Zero Trust architectures provide essential security principles, most existing frameworks do not explicitly incorporate transactional semantics, financial risk modeling, adaptive identity trust, or automation weighted by economic impact.
  This paper introduces SecureBank, a financially aware and context adaptive Zero Trust architecture designed specifically for high assurance banking systems. The proposed framework integrates Financial Zero Trust, Adaptive Identity Scoring, Contextual Micro Segmentation, and Impact Driven Security Automation. A Monte Carlo simulation evaluates SecureBank against a representative rule based baseline architecture using metrics such as the Transactional Integrity Index (TII), Identity Trust Adaptation Level (ITAL), and Security Automation Efficiency (SAE).
  The results demonstrate that SecureBank significantly improves automated attack handling and accelerates identity trust adaptation while preserving conservative and regulator aligned levels of transactional integrity. Beyond experimental validation, SecureBank is intended to serve as a reference architecture and evaluation baseline for financially aware Zero Trust systems in regulated financial environments."
"A Key-Driven Framework for Identity-Preserving Face Anonymization","https://scispace.com/paper/http://arxiv.org/abs/2409.03434v1","2024","Preprint","","Miaomiao Wang
Guang Hua
Sheng Li
Guorui Feng","10.14722/ndss.2025.23729","https://arxiv.org/pdf/2409.03434v1","Virtual faces are crucial content in the metaverse. Recently, attempts have been made to generate virtual faces for privacy protection. Nevertheless, these virtual faces either permanently remove the identifiable information or map the original identity into a virtual one, which loses the original identity forever. In this study, we first attempt to address the conflict between privacy and identifiability in virtual faces, where a key-driven face anonymization and authentication recognition (KFAAR) framework is proposed. Concretely, the KFAAR framework consists of a head posture-preserving virtual face generation (HPVFG) module and a key-controllable virtual face authentication (KVFA) module. The HPVFG module uses a user key to project the latent vector of the original face into a virtual one. Then it maps the virtual vectors to obtain an extended encoding, based on which the virtual face is generated. By simultaneously adding a head posture and facial expression correction module, the virtual face has the same head posture and facial expression as the original face. During the authentication, we propose a KVFA module to directly recognize the virtual faces using the correct user key, which can obtain the original identity without exposing the original face image. We also propose a multi-task learning objective to train HPVFG and KVFA. Extensive experiments demonstrate the advantages of the proposed HPVFG and KVFA modules, which effectively achieve both facial anonymity and identifiability."
"Inter-Agent Trust Models: A Comparative Study of Brief, Claim, Proof, Stake, Reputation and Constraint in Agentic Web Protocol Design-A2A, AP2, ERC-8004, and Beyond","https://scispace.com/paper/http://arxiv.org/abs/2511.03434v1","2025","Preprint","","Botao 'Amber' Hu
Helena Rong","","https://arxiv.org/pdf/2511.03434v1","As the ""agentic web"" takes shape-billions of AI agents (often LLM-powered) autonomously transacting and collaborating-trust shifts from human oversight to protocol design. In 2025, several inter-agent protocols crystallized this shift, including Google's Agent-to-Agent (A2A), Agent Payments Protocol (AP2), and Ethereum's ERC-8004 ""Trustless Agents,"" yet their underlying trust assumptions remain under-examined. This paper presents a comparative study of trust models in inter-agent protocol design: Brief (self- or third-party verifiable claims), Claim (self-proclaimed capabilities and identity, e.g. AgentCard), Proof (cryptographic verification, including zero-knowledge proofs and trusted execution environment attestations), Stake (bonded collateral with slashing and insurance), Reputation (crowd feedback and graph-based trust signals), and Constraint (sandboxing and capability bounding). For each, we analyze assumptions, attack surfaces, and design trade-offs, with particular emphasis on LLM-specific fragilities-prompt injection, sycophancy/nudge-susceptibility, hallucination, deception, and misalignment-that render purely reputational or claim-only approaches brittle. Our findings indicate no single mechanism suffices. We argue for trustless-by-default architectures anchored in Proof and Stake to gate high-impact actions, augmented by Brief for identity and discovery and Reputation overlays for flexibility and social signals. We comparatively evaluate A2A, AP2, ERC-8004 and related historical variations in academic research under metrics spanning security, privacy, latency/cost, and social robustness (Sybil/collusion/whitewashing resistance). We conclude with hybrid trust model recommendations that mitigate reputation gaming and misinformed LLM behavior, and we distill actionable design guidelines for safer, interoperable, and scalable agent economies."
"TRUST 2025: SCRITA and RTSS @ RO-MAN 2025","https://scispace.com/paper/http://arxiv.org/abs/2509.11402v1","2025","Preprint","","Alessandra Rossi
Patrick Holthaus
Gabriella Lakatos
Sílvia Moros
Ali Fallahi
Murat Kirtay
Marie Postma
Erhan Oztop","","https://arxiv.org/pdf/2509.11402v1","The TRUST workshop is the result of a collaboration between two established workshops in the field of Human-Robot Interaction: SCRITA (Trust, Acceptance and Social Cues in Human-Robot Interaction) and RTSS (Robot Trust for Symbiotic Societies). This joint initiative brings together the complementary goals of these workshops to advance research on trust from both the human and robot perspectives.
  Website: https://scrita.herts.ac.uk/2025/"
