"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"An Information-Centric Networking Based Registry for Decentralized Identifiers and Verifiable Credentials","https://scispace.com/paper/an-information-centric-networking-based-registry-for-4i138kzd2y","2020","Journal Article","IEEE Access","Bander A. Alzahrani","10.1109/ACCESS.2020.3011656","https://scispace.com/pdf/an-information-centric-networking-based-registry-for-4i138kzd2y.pdf","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Implements ICN-based DID/VC registry prototype; lacks VC data model description, formal ontology, or mapping, but provides tool support and mentions future work.","Decentralized Identifiers (DIDs) are new self-manageable means of authentication, which is currently under standardization by the World Wide Web Consortium (W3C). Closely related to DIDs, verifiable credentials (VCs) are another ongoing standardization effort (by the same W3C working group) that enables privacy-preserving and cryptographically secure proofs of attribute ownership. Both these approaches assume in their core an immutable decentralized registry (e.g., a blockchain, or a p2p network) in which critical meta-data is recorded. However, W3C’s standards do not specify how this registry is implemented, instead this is left as an open implementation choice. In this paper we design, implement, and evaluate a secure DID/VC registry service using the emerging paradigm of Information Centric Networking (ICN). In order to achieve our goal, we combine the decentralized nature, and the “lookup by name” property of ICN, with a secure mechanism for maintaining synchronized replicas of an item in multiple locations. Due to ICN’s inherent support for multicast and caching, our construction imposes small network overhead, and achieves low lookup times."
"DID and VC:Untangling Decentralized Identifiers and Verifiable Credentials for the Web of Trust","https://scispace.com/paper/did-and-vc-untangling-decentralized-identifiers-and-vkrtj9np87","2020","Proceedings Article","","Clemens Brunner
Ulrich Gallersdörfer
Fabian Knirsch
Dominik Engel
Florian Matthes","10.1145/3446983.3446992","https://dl.acm.org/doi/pdf/10.1145/3446983.3446992","- **Relevance Score:** 3/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Describes DID/VC workflows and limitations with future directions, but offers no formal model, ontology, mapping, or tooling.","Decentralized identifiers and verifiable credentials have been proposed as a self-sovereign and privacy-friendly alternative to centralized and proprietary authentication services. Currently, a W3C standard exists that attempts to unify existing proposals and to find a common layer for decentralized identification and verification. However, there are some limitations of decentralized identifiers in comparison to established, centrally controlled authentication platforms concerning trust, privacy and usability. In this paper, we first describe all workflows which are necessary to create, share and verify a verifiable credential and second, we discuss the limitations concerning trust, privacy and usability of decentralized identifiers. The paper summarizes the involved workflows for decentralized authentication as proposed by the current standard. Further, we show the existing limitations and shortcomings that need to be considered when sharing DID for practical implementations and give an overview of possible solutions and future directions."
"SolidVC : a decentralized framework for Verifiable Credentials on the web","https://scispace.com/paper/solidvc-a-decentralized-framework-for-verifiable-credentials-3jmff94pd2","2019","Dissertation","","Kayode Yadilichi. Ezike","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes VC concepts within SolidVC but lacks formal ontology/metamodel and explicit element mappings; focuses on decentralized implementation rather than formal specification.","Credentials are an integral part of our lives, as they express our capabilities and enable access to restricted services and benefits. In the early 2010s, the Verifiable Claims Working Group of the World Wide Web Consortium (W3C) proposed a specification for what is now the Verifiable Credentials Data Model. This living specification, which is still in development, outlines a cogent framework for the issuance, storage, presentation, and verification of credentials on the Web. Many of the leading Verifiable Credentials projects leverage Distributed Ledger Technology (DLT), potentially compromising Web interoperability and sometimes exposing otherwise personal data. SolidVC is a decentralized Verifiable Credentials platform built with the open protocols of the Web. It is implemented on top of Solid, a Web framework developed at MIT in 2016 that allows decentralized applications to interact with personal user data to provide services in an access controlled environment. Thesis Supervisor: Lalana Kagal Title: Principal Research Scientist"
"SSI, from Specifications to Protocol? Formally Verify Security!","https://scispace.com/paper/ssi-from-specifications-to-protocol-formally-verify-security-3d1q64oj34","2024","Proceedings Article","","Christoph Braun
R. Horne
Tobias Käfer
Sjouke Mauw","10.1145/3589334.3645426","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes VC and DID standards and assembles them into a security‑focused protocol, but does not provide a formal ontology, metamodel, or explicit element‑wise mapping.","We evaluate a bundle of specifications from the Self-Sovereign Identity (SSI) paradigm to construct an authentication protocol for the Web. We demonstrate how relevant standards such as W3C Verifiable Credentials (VC), W3C Decentralised Identifiers (DIDs), and components of the Hyperledger Aries Framework are to be assembled methodologically into a protocol. We make those assumptions from standard trust models explicit that underlie the derived protocol, and verify security and privacy properties, notably secrecy, authentication, and unlinkability. This enables us to formally justify the additional precision that we urge these specifications to consider, to ensure that implementors of SSI-based systems do not neglect security-critical controls."
"PROV-XML: The PROV XML Schema","https://scispace.com/paper/prov-xml-the-prov-xml-schema-2zwasocm3n","2013","","","Hook Hua
Curt Tilmes
Stephan Zednik
Luc Moreau","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on PROV-DM XML schema, unrelated to Verifiable Credentials or their formal modeling.","Provenance is information about entities, activities, and people involved in producing a piece of data or thing, which can be used to form assessments about its quality, reliability or trustworthiness. PROV-DM is the conceptual data model that forms a basis for the W3C provenance (PROV) family of specifications. It defines a concepts for expressing provenance information enabling interchange. This document introduces an XML schema for the PROV data model (PROV-DM), allowing instances of the PROV data model to be serialized in XML."
"Toward a Verification, Validation, and Accreditation (VV&A) Ontology","https://scispace.com/paper/toward-a-verification-validation-and-accreditation-vv-a-r2m5arggqw","2008","Report","","Curtis Blais","10.21236/ADA513938","https://scispace.com/pdf/toward-a-verification-validation-and-accreditation-vv-a-r2m5arggqw.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a DoD VV&A ontology for verification, validation, and accreditation; does not address W3C Verifiable Credentials, their formalization, or related mappings.",": The Department of Defense (DoD) Modeling and Simulation Steering Committee (M&S SC) is sponsoring several Acquisition Modeling and Simulation (M&S) Projects. One of those projects is titled, ""Standardized Documentation for Verification, Validation, and Accreditation (VV&A)."" Previous efforts defined standardized content and format requirements (i.e., templates) for four core VV&A documents, now codified in a new Military Standard (MIL-STD-3022) and associated Data Item Descriptions. A tool is under development to automate those templates to assist developers in creating standardized VV&A information across the DoD and Military Departments. In support of this effort, the Naval Postgraduate School was tasked to specify data structures and content using the Extensible Markup Language (XML) for metadata and content of VV&A documentation. Based on the initial work, NPS was further tasked to design and develop an ontological foundation for formal description of VV&A information. This document describes preliminary work toward development of an ontology for VV&A that will facilitate future search, discovery, and processing of VV&A information to better meet user needs."
"An Ecore Metamodel for the W3C PROV Provenance Data Model","https://scispace.com/paper/an-ecore-metamodel-for-the-w3c-prov-provenance-data-model-1nnvnx2jl9","2024","Journal Article","","Marcos Alves Vieira
Gislainy Crisostomo Velasco
Sérgio T. Carvalho","10.1145/3658271.3658274","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Ecore metamodel for W3C PROV provenance, not on Verifiable Credentials; no VC concepts, formalization, or mappings are presented.","Context: In contemporary Information Systems development, effective management of data provenance has become pivotal for ensuring transparency, accountability, and reproducibility, particularly in the context of data-intensive applications. Problem: Despite the emergence of the W3C PROV family of documents as a standard for representing provenance, challenges persist in seamlessly integrating provenance information into Information Systems software development processes. Solution: This paper introduces the Ecore4PROV-DM metamodel, meticulously designed to adhere to the specifications of the W3C PROV data model (PROV-DM). IS Theory: We employed the Representation Theory to create an Ecore metamodel for representing the W3C PROV data model. Method: Model-Driven Engineering techniques were applied to create an Ecore metamodel that faithfully represents the PROV-DM concepts. Utilizing the Metamodel Quality Requirements and Evaluation (MQuaRE) framework, we conducted a meticulous assessment of Ecore4PROV-DM, ensuring its fidelity in representing PROV-DM concepts, evaluating completeness, correctness, and usability. Results: The metamodel quality evaluation results demonstrate a high consensus among metamodeling experts on the accuracy and completeness of Ecore4PROV-DM in capturing PROV-DM nuances. While specific concerns were raised about certain concepts, the overall assessment underscores Ecore4PROV-DM as a robust and reliable metamodel for modeling provenance information. Contributions and Impact in IS: This work contributes by delivering a well-defined and thoroughly evaluated Ecore metamodel for PROV-DM, providing a foundation for developing Information Systems that require precise provenance representation. The systematic structure of the metamodel enhances its utility and reliability. This metamodel provides a systematic and formalized approach to represent and manage provenance information, addressing the gap between the conceptual richness of W3C PROV-DM and the practical needs of Information Systems developers."
"Formal verification of the W3C web authentication protocol","https://scispace.com/paper/formal-verification-of-the-w3c-web-authentication-protocol-q89zwsdkah","2018","Proceedings Article","","Iness Ben Guirat
Harry Halpin","10.1145/3190619.3190640","https://scispace.com/pdf/formal-verification-of-the-w3c-web-authentication-protocol-q89zwsdkah.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on formal verification of WebAuthn, not on Verifiable Credentials model, formalism, or mappings.","The science of security can be set on firm foundations via the formal verification of protocols. New protocols can have their design validated in a mechanized manner for security flaws, allowing protocol designs to be scientifically compared in a neutral manner. Given that these techniques have discovered critical flaws in protocols such as TLS 1.2 and are now being used to re-design protocols such as TLS 1.3, we demonstrate how formal verification can be used to analyze new protocols such as the W3C Web Authentication API. We model W3C Web Authentication with the formal verification language ProVerif, showing that the protocol itself is secure. However, we also stretch the boundaries of formal verification by trying to verify the privacy properties of W3C Web Authentication given in terms of the same origin policy. We use ProVerif to show that without further mandatory requirements in the specification, the claimed privacy properties do not hold. Next steps on how formal verification can be further integrated into standards and the further development of the privacy properties of W3C Web Authentication is outlined."
"Academic and Skills Credentialing Using Distributed Ledger Technology (DLT) and W3C Standards: Technology Assessment","https://scispace.com/paper/academic-and-skills-credentialing-using-distributed-ledger-1b5cgtdz","2022","Journal Article","","Sthembile Mthethwa
Morné Pretorius","10.59200/iconic.2022.019","https://scispace.com/pdf/academic-and-skills-credentialing-using-distributed-ledger-1b5cgtdz.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on assessing DLT platforms for credential verification; does not describe the VC data model, provide formal ontologies/metamodels, or map formalism to VC elements.","The ongoing push for the 4th industrial revolution is setting the stage to digitise, persist and verify identity along with credentials. Academic and skills credentials are currently verified manually and have much scope for automation using cryptographic techniques but requires standardisation to facilitate future systems interoperability. The Distributed Ledger Technology (DLT) and World Wide Web Consortium (W3C) Verifiable Credentials (VC) standards presents the possibility to achieve this credential verification automation. To accomplish this, an understanding of various DLTs and requirements for a viable skills tracking system is important. Therefore, this research aims to access the selected DLTs against the assessment criterion presented and an analysis has been completed to determine which DLT is suitable for the proposed system. The DLTs are assessed in terms of their ability to support the rapid prototyping of such a system and provide recommendations to guide a future development path from the perspective of standards compliance. We conclude that few DLTs possess the maturity to provide proper requirements coverage due to the emergent nature of the DLT space. Additionally, this paper presents the high-level requirements to achieve a minimally viable solution that can demonstrate such digital credential verification in the academic and skills tracking context."
"Modelando acessibilidade na web: uma proposta para o desenvolvimento de material didático baseado no perfil do usuário","https://scispace.com/paper/modelando-acessibilidade-na-web-uma-proposta-para-o-3w0ndwy7qm","2007","Journal Article","","Patrícia B. Scherer Bassani
Marine Bello Flores
Marcelo Iserhardt Ritzel
Regina de Oliveira Heidrich","10.22456/1679-1916.14306","https://scispace.com/pdf/modelando-acessibilidade-na-web-uma-proposta-para-o-3w0ndwy7qm.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on web accessibility and ontology use for educational material, without addressing Verifiable Credentials, their formal models, or mappings.","Este estudo se insere nas pesquisas que vem sendo realizadas na area de educacao a distância, enfocando o desenvolvimento de material instrucional para cursos Web. Busca articular as pesquisas nas areas de Inteligencia Artificial e Web Semântica, de forma a propor uma ontologia que oriente a acao de um agente capaz de perceber as interacoes entre usuario e o ambiente, de forma a identificar o perfil do aluno a distância, especialmente no que se refere a navegabilidade, interface e cognicao, ou mesmo o conhecimento sobre a interface. O modelo proposto busca contemplar sujeitos com diferentes necessidades visuais, auditivas e cognitivas."
"Minimal information disclosure with efficiently verifiable credentials","https://scispace.com/paper/minimal-information-disclosure-with-efficiently-verifiable-264w3xkicq","2008","Proceedings Article","Digital Identity Management","David Bauer
Douglas M. Blough
David Cash","10.1145/1456424.1456428","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Merkle tree based credentials and performance; does not discuss W3C VC model, formal ontologies, or mappings to VC concepts.","Public-key based certificates provide a standard way to prove one's identity, as attested by some certificate authority (CA). However, plain certificates provide a binary identification: either the whole identity of the subject is known, or nothing is known. We propose using a Merkle hash tree structure, whereby it is possible for a single certificate to contain many separate claims or attributes, each of which may be proved independently, without revealing the others. Additionally, we demonstrate how trees from multiple sources can be combined together by modifying the tree structure. This allows claims by different authorities, such as an employer or professional organization, to be combined under a single certificate, without the CA needing to know (or to verify) all of the claims. In addition to describing the hash tree structure and protocols for constructing and verifying our proposed credential, we formally prove that it provides unforgeability and privacy and we present performance results demonstrating its efficiency. As services move from user names and passwords to attribute-based identity verification, efficiency and scalability of claims verification will become a major issue. We have implemented a prototype client-server system, deployed the prototype in Emulab, and evaluated the server-side throughput for attribute-based identity verification. The results show that our approach can perform about 200 identity verifications per second, while the best competing approach can perform only about 2--5 verifications per second. Our approach is, therefore, better suited to today's high-volume Web-based services that demand the highest possible throughput."
"Query-driven verification of data integration in the RDF data model","https://scispace.com/paper/query-driven-verification-of-data-integration-in-the-rdf-1ayicw2x","2023","Journal Article","Lobachevskii Journal of Mathematics","Sergey A. Stupnikov","10.1134/S1995080223010389","https://www.academia.edu/download/106843573/Stupnikov.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on RDF-based data integration verification, without addressing Verifiable Credentials, their formalization, or related mappings.",""
"Verifiable credentials and methods thereof","https://scispace.com/paper/verifiable-credentials-and-methods-thereof-1nkmgf5eyx","2015","Patent","","Sal Khan","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Patent focuses on physical/digital ID document tamper‑prevention, without discussing W3C Verifiable Credentials, formal models, or mappings.","Whilst technological progress in identity (ID) documents continues to evolve, prior art systems do not ultimately prevent ID document tampering, replication, etc. by virtue of their being no unique associations of the ID document to both its physical/digital identity and the physical identity of the cardholder. Accordingly, the inventors through embodiments of the invention address these issues through the provisioning of ID documents with features that allow unique association of the ID document to both its physical/digital identity and the physical identity of the cardholder."
"Ontologies as a Tool for Formalizing Data Validation Rules","https://scispace.com/paper/ontologies-as-a-tool-for-formalizing-data-validation-rules-3k8teafz","2023","Book Chapter","","","10.5772/intechopen.110757","https://scispace.com/pdf/ontologies-as-a-tool-for-formalizing-data-validation-rules-3k8teafz.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on using OWL for generic data validation, not on W3C Verifiable Credentials or any explicit VC mapping.","Comparison of health data across national or even regional boundaries is a challenging task. Data sources, data collection methods, and data quality can vary widely and the quality of the indicators themselves is dependent upon the veracity of the underlying data. For any trans-regional or trans-national comparison of indicators, it is imperative to ensure data are appropriately validated. Ontologies provide a number of functionalities to help in this process. Data rules can be formalized using the ontology axioms, which are useful for removing the ambiguities of rules expressed in natural language. In addition, the axioms serve to identify the metadata and their corresponding semantic relationships, which can in turn be linked to standard data dictionaries or other ontologies. Moreover, ontologies provide the means for encapsulating the underlying data model of the domain allowing the rules and the data model to be maintained in a single application. Finally the expression of the axioms in description logic, as supported for example by the web ontology language, allows machine reasoning to validate data sets automatically against the formalized rules. "
"Verifiable Credentials with Privacy-Preserving Tamper-Evident Revocation Mechanism","https://scispace.com/paper/verifiable-credentials-with-privacy-preserving-tamper-2lop8je1gk","2023","Proceedings Article","","Li Xu
Tianyu Li
Zekeriya Erkin","10.1109/bcca58897.2023.10338923","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a privacy‑preserving revocation mechanism using accumulators and blockchain; does not describe, formalize, or map the VC data model.","Verifiable Credential (VC) is a new standard proposed by the W3C association to facilitate the expression and verification of third-party-verified credentials on the Internet, such as passports or diplomas. However, the current VC data model lacks an explicit revocation design that guarantees the secure operations of the system, which limits its application. In this paper, we specify the requirements for a tamper-evident and privacy-preserving revocation mechanism, based on which we compare existing solutions and propose our revocation mechanism that satisfies all the requirements. Our design combines a cryptographic accumulator and a role-based blockchain. With zero-knowledge proof, the verifier can operate off-chain computation of the revocation status while ensuring the correctness of revocation information published on the blockchain. Our analysis shows that the proposed revocation mechanism can prevent fraud using forged and revoked credentials and relieve privacy concerns caused by the correlation of digital data. Our proof-of-concept implementation demonstrates that our revocation mechanism adds only 42.86 ms overhead in the presentation and 31.36 ms overhead in the verification of verifiable credentials. We also provide scalability analysis, which illustrates that the throughput of our blockchain can meet real-world needs."
