"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Wallet wars or digital public infrastructure?","https://scispace.com/paper/wallet-wars-or-digital-public-infrastructure-lymlixbrj5wl","2025","Repository","","","10.14279/depositonce-22744","","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Qualitative eIDAS 2.0 wallet study; no formal methods or multi‑framework comparison, but offers policy insights and mitigation concepts for government orchestration.","With the eIDAS 2.0 legislation, the European Union seeks to establish a digital identity data ecosystem and to empower citizens to manage digital credentials from various sources through an ID wallet interface. To achieve this, governments must develop holistic orchestration models integrating technical, regulatory, and economic perspectives. This approach will foster ecosystem value creation, address orchestration tensions, and design sustainable operating models for various ecosystem actors. While IS research has explored private-sector governance mechanisms in platform and data ecosystems, a research gap exists in understanding public–private orchestration where governments act as orchestrators. We address this through a structured document analysis of 80 position papers from various stakeholders participating in a public government consultation process and 14 semi-structured in-depth interviews. By examining ecosystem value creation mechanisms, orchestration tensions, and monetization challenges, we identify two government orchestration standard types for the ID wallet provision. The Government ID-Infrastructure Wallet model embodies an ecosystem-integrated public infrastructure, while the Trust ID Wallet Federation exemplifies a dynamic and competition-driven approach. By bridging the self-sovereign identity ecosystem paradigm with digital identity infrastructure research, our work contributes to the understanding and theoretical development of data ecosystems and digital identity research from a government perspective. "
"Decentralized Cross-Network Identity Management for Blockchain Interoperation","https://scispace.com/paper/decentralized-cross-network-identity-management-for-c1hnw0fmhz","2021","Proceedings Article","","Bishakh Chandra Ghosh
Venkatraman Ramakrishna
Chander Govindarajan
Dushyant Behl
Dileban Karunamoorthy
Ermyas Abebe
Sandip Chakraborty","10.1109/ICBC51069.2021.9461064","https://arxiv.org/pdf/2104.03277","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Implements a cross‑chain DID system prototype, but lacks formal methods, conflict analysis, framework comparison, or policy discussion.","Interoperation for data sharing between permissioned blockchain networks relies on networks’ abilities to independently authenticate requests and validate proofs accompanying the data; these typically contain digital signatures. This requires counterparty networks to know the identities and certification chains of each other’s members, establishing a common trust basis rooted in identity. But permissioned networks are ad hoc consortia of existing organizations, whose network affiliations may not be well-known or well-established even though their individual identities are. In this paper, we describe an architecture and set of protocols for distributed identity management across permissioned blockchain networks to establish a trust basis for data sharing. Networks wishing to interoperate can associate with one or more distributed identity registries that maintain credentials on shared ledgers managed by groups of reputed identity providers. A network’s participants possess self-sovereign decentralized identities (DIDs) on these registries and can obtain privacy-preserving verifiable membership credentials. During interoperation, networks can securely and dynamically discover each others’ latest membership lists and members’ credentials. We implement a solution based on Hyperledger Indy and Aries, and demonstrate its viability and usefulness by linking a trade finance network with a trade logistics network, both built on Hyperledger Fabric. We also analyze the extensibility, security, and trustworthiness of our system."
"Nationale und europäische Sicht auf eIDAS 2.0 – Aufwand und Nutzen","https://scispace.com/paper/nationale-und-europaische-sicht-auf-eidas-2-0-aufwand-und-22a3tlck","2022","Journal Article","Datenschutz Und Datensicherheit","Arno Fiedler
Franziska Granc","10.1007/s11623-022-1556-0","https://scispace.com/pdf/nationale-und-europaische-sicht-auf-eidas-2-0-aufwand-und-22a3tlck.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Analyzes eIDAS 2.0 policy impacts, suggests SSI for data minimization, but lacks formal methods, conflict modeling, multi‑framework comparison, or implementation.","Der digitale Binnenmarkt bietet für Bürger:innen, Wirtschaft und Verwaltung einen großen Nutzen. Die 2014 in Kraft getretene eIDAS-Verordnung hat dafür den Grundbaustein gelegt und die Digitalisierung Europas gestärkt. Leider haben die Potentiale der Verordnung nur in wenigen Mitgliedsstaaten Anwendung gefunden. Die gestiegene Nachfrage für vertrauenswürdige Identifizierungen im Netz und die immer weiterwachsende Abhängigkeit von wenigen globalen Unternehmen erfordert eine Novellierung der bestehenden Verordnung. Die Kommission stellt mit ihrem Revisionsvorschlag eine souveräne Nutzung von digitalen Identitäten in den Vordergrund und ebnet den Weg für neue dezentrale Technologien. "
"SISSI: An Architecture for Semantic Interoperable Self-Sovereign Identity-based Access Control on the Web","https://scispace.com/paper/sissi-an-architecture-for-semantic-interoperable-self-1n1w1mx1","2023","Proceedings Article","The Web Conference","Christoph Braun
Papanchev
Tobias Käfer","10.1145/3543507.3583409","https://scispace.com/pdf/sissi-an-architecture-for-semantic-interoperable-self-1n1w1mx1.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SHACL for rule specification, implements proof‑of‑concept, but lacks formal verification, conflict analysis, multi‑framework comparison, and policy discussion.","We present an architecture for authentication and authorization on the Web that is based on the Self-Sovereign Identity paradigm. Using our architecture, we aim to achieve semantic interoperability across different approaches to SSI. We build on the underlying RDF data model of the W3C’s recommendation for Verifiable Credentials and specify semantic access control rules using SHACL. Our communication protocol for an authorization process is based on Decentralised Identifiers and extends the Hyperledger Aries Present Proof protocol. We propose a modular architecture that allows for flexible extension, e. g., for supporting more signature schemes or Decentralised Identifier Methods. For evaluation, we implemented a Proof-of-Concept: We show that a Web-based approach to SSI outperfoms a blockchain-based approach to SSI in terms of End-to-End execution time."
"Decentralized Cross-Network Identity Management for Blockchain Interoperation","https://scispace.com/paper/decentralized-cross-network-identity-management-for-9cmhhzl2ztip","2022","Repository","","Ghosh, Bishakh Chandra
Ramakrishna Venkatraman
Govindarajan Chander
Behl Dushyant
Karunamoorthy Dileban
Abebe Ermyas
Chakraborty, Sandip","10.48550/arxiv.2104.03277","","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Implements cross‑network DID system on Hyperledger Indy/Aries with a prototype linking Fabric networks; lacks formal methods, conflict analysis, multi‑framework comparison, and policy discussion.","Interoperation for data sharing between permissioned blockchain networks relies on networks' abilities to independently authenticate requests and validate proofs accompanying the data; these typically contain digital signatures. This requires counterparty networks to know the identities and certification chains of each other's members, establishing a common trust basis rooted in identity. But permissioned networks are ad hoc consortia of existing organizations, whose network affiliations may not be well-known or well-established even though their individual identities are. In this paper, we describe an architecture and set of protocols for distributed identity management across permissioned blockchain networks to establish a trust basis for data sharing. Networks wishing to interoperate can associate with one or more distributed identity registries that maintain credentials on shared ledgers managed by groups of reputed identity providers. A network's participants possess self-sovereign decentralized identities (DIDs) on these registries and can obtain privacy-preserving verifiable membership credentials. During interoperation, networks can securely and dynamically discover each others' latest membership lists and members' credentials. We implement a solution based on Hyperledger Indy and Aries, and demonstrate its viability and usefulness by linking a trade finance network with a trade logistics network, both built on Hyperledger Fabric. We also analyze the extensibility, security, and trustworthiness of our system. "
"Decentralized Cross-Network Identity Management for Blockchain Interoperation","https://scispace.com/paper/decentralized-cross-network-identity-management-for-5e7x9f1aik","2021","Proceedings Article","arXiv: Distributed, Parallel, and Cluster Computing","Bishakh Chandra Ghosh
Venkatraman Ramakrishna
Chander Govindarajan
Dushyant Behl
Dileban Karunamoorthy
Ermyas Abebe
Sandip Chakraborty","10.1109/ICBC51069.2021.9461064","https://arxiv.org/pdf/2104.03277.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Implements cross‑network DID system on Hyperledger Indy/Aries, showing a working prototype; lacks formal methods, conflict analysis, or multi‑framework comparison, and offers limited policy discussion.","Interoperation for data sharing between permissioned blockchain networks relies on networks' abilities to independently authenticate requests and validate proofs accompanying the data; these typically contain digital signatures This requires counterparty networks to know the identities and certification chains of each other's members, establishing a common trust basis rooted in identity But permissioned networks are ad hoc consortia of existing organizations, whose network affiliations may not be well-known or well-established even though their individual identities are In this paper, we describe an architecture and set of protocols for distributed identity management across permissioned blockchain networks to establish a trust basis for data sharing Networks wishing to interoperate can associate with one or more distributed identity registries that maintain credentials on shared ledgers managed by groups of reputed identity providers A network's participants possess self-sovereign decentralized identities (DIDs) on these registries and can obtain privacy-preserving verifiable membership credentials During interoperation, networks can securely and dynamically discover each others' latest membership lists and members' credentials We implement a solution based on Hyperledger Indy and Aries, and demonstrate its viability and usefulness by linking a trade finance network with a trade logistics network, both built on Hyperledger Fabric We also analyze the extensibility, security, and trustworthiness of our system"
"A Decentralised Digital Identity Architecture","https://scispace.com/paper/a-decentralised-digital-identity-architecture-1np5y2v38l","2019","Journal Article","","Geoff Goodell
Tomaso Aste","10.3389/FBLOC.2019.00017","https://scispace.com/pdf/a-decentralised-digital-identity-architecture-1np5y2v38l.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a decentralized ledger design to argue for privacy‑preserving identities and discusses human‑rights policy, but lacks formal methods, framework comparisons, conflict analysis, or implemented prototypes.","Current architectures to validate, certify, and manage identity are based on centralised, top-down approaches that rely on trusted authorities and third-party operators. We approach the problem of digital identity starting from a human rights perspective, asserting that individual persons must be allowed to manage their personal information in a multitude of different ways in different contexts and that to do so, each individual must be able to create multiple unrelated identities. Therefore, we first define a set of fundamental constraints that digital identity systems must satisfy to preserve and promote human rights. With these constraints in mind, we then propose a decentralised, standards-based approach, using a combination of distributed ledger technology and thoughtful regulation, to facilitate many-to-many relationships among providers of key services. Our proposal for digital identity differs from others in its approach to trust in that we do not seek to bind credentials to each other or to a mutually trusted authority to achieve strong non-transferability. Because the system does not implicitly encourage its users to maintain a single aggregated identity that can potentially be constrained or reconstructed against their interests, individuals and organisations are free to embrace the system and share in its benefits."
"A Decentralised Digital Identity Architecture","https://scispace.com/paper/a-decentralised-digital-identity-architecture-4mlr84vtyk","2019","Journal Article","Social Science Research Network","Geoff Goodell
Tomaso Aste","10.2139/SSRN.3342238","https://scispace.com/pdf/a-decentralised-digital-identity-architecture-4mlr84vtyk.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Proposes a decentralized identity architecture with privacy‑focused policy discussion, but lacks formal methods, framework comparisons, or implemented prototypes.","Current architectures to validate, certify, and manage identity are based on centralised, top-down approaches that rely on trusted authorities and third-party operators. We approach the problem of digital identity starting from a human rights perspective, with a primary focus on identity systems in the developed world. We assert that individual persons must be allowed to manage their personal information in a multitude of different ways in different contexts and that to do so, each individual must be able to create multiple unrelated identities. Therefore, we first define a set of fundamental constraints that digital identity systems must satisfy to preserve and promote privacy as required for individual autonomy. With these constraints in mind, we then propose a decentralised, standards-based approach, using a combination of distributed ledger technology and thoughtful regulation, to facilitate many-to-many relationships among providers of key services. Our proposal for digital identity differs from others in its approach to trust in that we do not seek to bind credentials to each other or to a mutually trusted authority to achieve strong non-transferability. Because the system does not implicitly encourage its users to maintain a single aggregated identity that can potentially be constrained or reconstructed against their interests, individuals and organisations are free to embrace the system and share in its benefits."
"A Tutorial on the Interoperability of Self-sovereign Identities","https://scispace.com/paper/a-tutorial-on-the-interoperability-of-self-sovereign-2nx3viay","2022","Posted Content","","","10.36227/techrxiv.20430825","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a conceptual tutorial and reference model for SSI interoperability, but lacks formal methods, conflict analysis, specific framework comparisons, mitigation tactics, implementations, or policy discussion.","&lt;p&gt;Self-sovereign identity is the latest digital identity paradigm that allows users, organizations, and things to manage identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying assertions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These technological differences often create interoperability problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of self-sovereign identity interoperability. In the context of this tutorial, we create a definition of interoperability of self-sovereign identities to enable a common understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation. The reference model helps address the question of how to achieve interoperability between different implementations. &lt;/p&gt; "
"A Tutorial on the Interoperability of Self-sovereign Identities","https://scispace.com/paper/a-tutorial-on-the-interoperability-of-self-sovereign-b89pozp1","2022","Posted Content","","","10.48550/arxiv.2208.04692","https://scispace.com/pdf/a-tutorial-on-the-interoperability-of-self-sovereign-b89pozp1.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a conceptual tutorial and reference model for SSI interoperability, but lacks formal methods, conflict analysis, specific framework comparisons, mitigation tactics, implementations, or policy discussion.","Self-sovereign identity is the latest digital identity paradigm that allows users, organizations, and things to manage identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying assertions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These technological differences often create interoperability problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of self-sovereign identity interoperability. In the context of this tutorial, we create a definition of interoperability of self-sovereign identities to enable a common understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation. The reference model helps address the question of how to achieve interoperability between different implementations. "
"Building Trust: Integrating AI, Blockchain, and Digital Identity","https://scispace.com/paper/UPTOtsdEiLwJ","","","","A Dahlborn
C Ferreira da Silva
F Budris","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5873682","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper discusses AI, blockchain, and eIDAS 2.0 with SSI, but lacks formal methods, conflict analysis, comparison of multiple listed frameworks, mitigation tactics, prototypes, or policy depth.",""
"Digital Identity Interoperability and eInnovation","https://scispace.com/paper/digital-identity-interoperability-and-einnovation-2k9kupu793","2009","","","John Palfrey
Urs Gasser","","https://scispace.com/pdf/digital-identity-interoperability-and-einnovation-2k9kupu793.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper lacks formal methods, conflict analysis, framework comparison, mitigation tactics, implementation details, or policy discussion; therefore it does not meet any criteria.",""
"Introducing Privacy Receipts into DLT and eIDAS","https://scispace.com/paper/introducing-privacy-receipts-into-dlt-and-eidas-uei5352v","2023","Journal Article","Journal of ICT standardisation","Jan Erik Lindquist","10.13052/jicts2245-800x.1121","https://scispace.com/pdf/introducing-privacy-receipts-into-dlt-and-eidas-uei5352v.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper discusses privacy receipts, DLT standards, and eIDAS but lacks formal methods, conflict analysis, multi‑framework comparison, mitigation tactics, prototypes, or policy discussion.","The introduction of digital identification (e.g., eIDAS) and wallet standards (e.g., EUDI wallet) require compliance with privacy principles and clear communication of the principles through privacy notice and record of consent in the form of a privacy receipt. Regulation needs standards to help set the bar for reducing the privacy infringement risk. Without a standard-based implementation, solutions will be proprietary and siloed with no concern for interoperability, like privacy labels in Google and Apple app stores. Do existing standards address the gap, or do new ones need to be introduced? This article looks at the standards and regulations in three areas to answer this question: privacy protection standards, blockchain and DLT standards, and digital identification and wallet standards."
