"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The logic of distributed ledger technology: a formal study","https://scispace.com/paper/the-logic-of-distributed-ledger-technology-a-formal-study-d29ryzt3ab8m","2025","Repository","","Lohachab Ankur","10.25959/28147688","https://figshare.utas.edu.au/articles/thesis/The_logic_of_distributed_ledger_technology_a_formal_study/28147688/1/files/57685708.pdf","… could raise questions of consistency and trust within a project… is then formalized as Alloy models and subsequently verified … spectrum, including identity verification and cloud computing, …","Once considered a technology primarily confined to the fintech realm, Distributed Ledger Technology (DLT) has broadened its applicability, permeating across information technology and engineering disciplines, such as cybersecurity, gaming, and energy management. This uptake is primarily attributed to the continuous exploration of new concepts, resulting in the emergence of distinct classes of DLTs that significantly differ from their initial exemplars, such as Bitcoin. These classes have prompted a substantial shift in the design principles of conventional DLT, leading to an increase in the intricacy of underlying architectures and further complicating the process associated with their analysis and development. Therefore, a meticulous and formal study of DLT becomes imperative, both for leveraging its advancements to their full potential and for adeptly addressing the multifaceted and intricate concerns of various stakeholders. Nevertheless, despite the swift proliferation of DLT literature, the current body of research often maintains a limited purview, leaving a considerable gap in holistic analysis and inadvertently limiting the exploration of interdependencies associated with the inherent challenges within the DLT ecosystem. This gap becomes notably pronounced in pivotal domains, including addressing the pervasive uncertainties surrounding DLT’s applicability, rigorous analysis of DLT architecture and its fundamental components like smart contracts, and ensuring seamless interoperability across heterogeneous DLT systems.<br>Accordingly, the core objective of this thesis is to undertake a comprehensive exploration of the challenges presented within the DLT ecosystem through a systematic study of three key dimensions: (i) applicability, (ii) formal analysis, and (iii) interoperability. First, we conduct an in-depth performance analysis of DLT by implementing an enterprise application on Hyperledger Fabric (HF), a widely adopted DLT software. This investigation entails thorough testing of various operational parameters to assess their impact on the effectiveness and efficiency of HF-based architecture. The primary objective of this study is to gain insights into the scalability and pragmatic aspects, thereby showcasing the applicability of DLT.<br>Second, we incorporate formal methods into the engineering practices of DLT. This study begins by presenting an approach to mitigate potential architectural flaws arising from unreliable component specifications. Specifically, leveraging principles of declarative modeling, widely employed in program verification and refactoring, this thesis introduces Alloy4CMD, a component-based approach for formal modeling and analysis of DLT. The primary objective of this approach is to facilitate the development of verified and reusable modules during the early stages of DLT architectural modeling. Thus, by embracing a correct-by-construction methodology, it aims to enhance the reliability and efficiency of DLT systems. The second part of this formal analysis study presents a multi-formalism approach tailored for DLT components, with a specific focus on smart contracts. This approach aims to address the limitations commonly associated with using a single semi-formal or formal method during various stages of smart contract development, spanning from early architectural sketches to the final implementable code. The main objective of this approach is to provide a systematic and comprehensive analysis using tool-assisted methods, thereby facilitating a holistic assessment of smart contracts.<br>Third, this thesis delves into the critical aspects of interoperability among heterogeneous DLTs. It begins with a formal study of fundamental concepts, including asset swapping and transferring. Additionally, it explores a diverse range of methodologies, strategies, and approaches to obtain a comprehensive understanding of the pivotal role played by interoperability in the broader DLT landscape. Furthermore, this study brings attention to two potential paradoxes associated with the current approach taken by DLT interoperability solutions, shedding light on challenges, such as increased complexity and costs, and a decrease in efficiency. The overarching objective of this multifaceted exploration of DLT interoperability is to address concerns pertaining to the design and development of more decentralized interoperability solutions. We then present an approach to effectively address the interoperability challenges faced by multiple HF networks. This approach aims to extend the conventional role of clients by equipping them with pertinent information regarding the HF network topology. The efficacy of the approach is evaluated using a methodology that considers key factors, such as the number of HF networks, application channels, and clients. Furthermore, the resilience of the approach is assessed against diverse execution failure scenarios associated with chaincode. The primary objective of this study is to leverage existing HF components, thereby avoiding the need for proprietary solutions and minimizing potential complexities, such as integration difficulties, scalability issues, and operational inefficiencies. "
"Formal Methods for Security Knowledge Area Version..","https://scispace.com/paper/3WZSYv1z5m0J","","","","D Basin","","https://cybok.org/media/downloads/Formal_Methods_for_Security_v1.0.0.pdf","… 8 ], developed generic models and frameworks for proving … of many successful formal methods approaches to reasoning … Deriving these rules ensures the consistency of the resulting …",""
"Matching Expectations in Ensembles: Connecting Verifiable Credentials and the Semantic Web","https://scispace.com/paper/matching-expectations-in-ensembles-connecting-verifiable-1868w0son3jc","","Journal Article","","Jan Sürmeli
Sergen Yilmaz","10.1007/978-3-031-75107-3_10","","… approaches such as trust lists or more complex frameworks (… {SROIQ}\) description logic [10] in our approach, allowing a … This includes checking ontologies for consistency and infering …",""
"Formal specification and verification of autonomous robotic systems: A survey","https://scispace.com/paper/formal-specification-and-verification-of-autonomous-robotic-33vt7xtv3f","2018","Journal Article","arXiv: Formal Languages and Automata Theory","Matt Luckcuck
Marie Farrell
Louise A. Dennis
Clare Dixon
Michael Fisher","10.1145/3342355","https://dl.acm.org/doi/pdf/10.1145/3342355","… sufficient evidence for the certification of, robotic systems. We … In applying formal verification methods to programming … into an Alloy specification and verified using Alloy Analyzer. The …","Autonomous robotic systems are complex, hybrid, and often safety-critical; this makes their formal specification and verification uniquely challenging. Though commonly used, testing and simulation alone are insufficient to ensure the correctness of, or provide sufficient evidence for the certification of, autonomous robotics. Formal methods for autonomous robotics has received some attention in the literature, but no resource provides a current overview. This paper systematically surveys the state-of-the-art in formal specification and verification for autonomous robotics. Specially, it identifies and categorises the challenges posed by, the formalisms aimed at, and the formal approaches for the specification and verification of autonomous robotics."
"Formal verification for preventing misconfigured access policies in kubernetes clusters","https://scispace.com/paper/formal-verification-for-preventing-misconfigured-access-68ldfwd4gmca","2025","Journal Article","IEEE Access","Aditya Sissodiya
Eric Chiquito
Ulf Bodin
Johan Kristiansson","10.1109/access.2025.3597504","https://ieeexplore.ieee.org/iel8/6287639/6514899/11122676.pdf","… setups (for example, credentials that enable a full takeover … , the Alloy modeling language has been used to formally … assurance of correctness and consistency, but practitioners must …","Kubernetes clusters now underpin the bulk of modern production workloads, recent 2024 Cloud Native Computing Foundation surveys report >96% enterprise adoption, stretching from 5G edge nodes and AI/ML pipelines to heavily-regulated fintech and healthcare back-ends. Every action in those environments funnels through the API server, so a single access-control slip can jeopardise an entire fleet. Yet most deployments still rely on a patchwork of Role-Based Access Control (RBAC) rules and policy-as-code admission controllers such as OPA Gatekeeper or Kyverno. In practice these controls are brittle: minor syntactic oversights, wildcard privileges, or conflicting rules can silently create privilege-escalation paths that elude linters and manual review. This paper presents a framework that models both RBAC and admission policies as first-order logic and uses an SMT solver to exhaustively search for counter-examples to stated security invariants before policies reach the cluster. The approach detects policy conflicts, unreachable denies, and unintended permissions. Three real-world case studies are presented to illustrate how the framework reveals latent misconfigurations and validates the soundness of the corrected rules. These case studies include a supply-chain image bypass, an RBAC “shadow-admi” escalation, and a multi-tenant namespace breach. To aid replication and further study, we release a fully scripted GitHub testbed: a Minikube cluster, AuthzForce PDP, admission-webhook adapter, and Z3-backed CLI that recreates each scenario and verifies policies end-to-end. While the framework does not address runtime threats, it closes a critical verification gap and substantially raises the bar for attackers targeting the most widely deployed orchestration platform."
"An application of Alloy to static analysis for secure information flow and verification of software systems","https://scispace.com/paper/an-application-of-alloy-to-static-analysis-for-secure-1olvbxhlb0","2008","","","Alan Shaffer","","https://apps.dtic.mil/sti/pdfs/ADA493781.pdf","… ), designed in the Alloy formal specification language, for conducting … factor to these high costs is the need for formal verification, … In a typical formal methods approach to security model …",": Within a multilevel secure (MLS) system, flaws in design and implementation can result in overt and covert channels, both of which may be exploited by malicious software to cause unauthorized information flows. To address this problem, the use of control dependency tracing has been explored to present a precise, formal definition for information flow. This work describes a security Domain Model (DM), designed in the Alloy formal specification language, for conducting static analysis of programs to identify illicit information flows, such as control dependency flaws and covert channel vulnerabilities. The model includes a formal definition for trusted subjects, which are granted extraordinary privileges to perform system operations that require relaxation of the mandatory access control (MAC) policy mechanisms imposed on normal subjects, but are trusted to behave benignly and not to degrade system security. The DM defines the concepts of program state, information flow and security policy rules, and specifies the behavior of a target program. The DM is compiled from a representation of the target program, written in a specialized Implementation Modeling Language (IML), and a specification of the security policy written in the Alloy language. The Alloy Analyzer tool is used to perform static analysis of the DM to detect potential security policy violations in the target program. This approach demonstrates that it is possible to establish a framework for formally representing a program implementation and for formalizing the security rules defined by a security policy, enabling the verification of that program representation for adherence to the security policy."
"Formal verification techniques for model transformations: A tridimensional classification","https://scispace.com/paper/formal-verification-techniques-for-model-transformations-a-4vlm5tbf4r","2015","Journal Article","The Journal of Object Technology","Moussa Amrani
Benoit Combemale
Levi Lucio
Gehan M. K. Selim
Juergen Dingel
Yves Le Traon
Hans Vangheluwe
James R. Cordy","10.5381/JOT.2015.14.3.A1","https://inria.hal.science/hal-01083759/document","… proving the consistency of a transformation specification with a … nature of Ocl and the difficulty of applying such approach on … We did not consider certification as a primary technique …","In Model Driven Engineering (MDE), models are first-class citizens, and model transformation is MDE's ""heart and soul"". Since model transformations are executed for a family of (conforming) models, their validity becomes a crucial issue. This paper proposes to explore the question of the formal verification of model transformation properties through a tridimensional approach: the transformation involved, the properties of interest addressed, and the formal verification techniques used to establish the properties. This work is intended for a double audience. For newcomers, it provides a tutorial introduction to the field of formal verification of model transformations. For readers more familiar with formal methods and model transformations, it proposes a literature review (although not systematic) of the contributions of the field. Overall, this work allows to better understand the evolution, trends and current practice in the domain of model transformation verification. This work opens an interesting research line for building an engineering of model transformation verification guided by the notion of model transformation intent."
"Formal validation of domain-specific languages with derived features and well-formedness constraints","https://scispace.com/paper/formal-validation-of-domain-specific-languages-with-derived-2mll6xudnj","2017","Journal Article","Software and Systems Modeling","Oszkár Semeráth
Ágnes Barta
Ákos Horváth
Zoltán Szatmári
Dániel Varró","10.1007/S10270-015-0485-X","https://real.mtak.hu/48989/1/sosym_dslvalidation_14_u.pdf","… top of model management frameworks such as Eclipse Modeling … (aka design rules or consistency rules) complement … or OCL invariants, in fact, our validation approach supports both …","Despite the wide range of existing tool support, constructing a design environment for a complex domain-specific language (DSL) is still a tedious task as the large number of derived features and well-formedness constraints complementing the domain metamodel necessitate special handling. Such derived features and constraints are frequently defined by declarative techniques (such graph patterns or OCL invariants). However, for complex domains, derived features and constraints can easily be formalized incorrectly resulting in inconsistent, incomplete or ambiguous DSL specifications. To detect such issues, we propose an automated mapping of EMF metamodels enriched with derived features and well-formedness constraints captured as graph queries in EMF-IncQuery or (a subset of) OCL invariants into an effectively propositional fragment of first-order logic which can be efficiently analyzed by back-end reasoners. On the conceptual level, the main added value of our encoding is (1) to transform graph patterns of the EMF-IncQuery framework into FOL and (2) to introduce approximations for complex language features (e.g., transitive closure or multiplicities) which are not expressible in FOL. On the practical level, we identify and address relevant challenges and scenarios for systematically validating DSL specifications. Our approach is supported by a tool, and it will be illustrated on analyzing a DSL in the avionics domain. We also present initial performance experiments for the validation using Z3 and Alloy as back-end reasoners."
"Formal Model-Based Traceability for Security Compliance in Satellite Control Systems","https://scispace.com/paper/j8TzmxuwU30J","","","","S Gjorcheski
J Jaskolka","","","… system model into an Alloy formal model, enabling rigorous consistency analysis between … support formal verification, each compliance requirement is formalized as a predicate in Alloy …",""
"A Formal Framework for Software Process Modelling and Verification: A Behavior Engineering and Ontology Approach","https://scispace.com/paper/eLi3F3frC_UJ","","","","E Kabaale","","https://research-repository.griffith.edu.au/server/api/core/bitstreams/09c13894-00e1-4f20-bbf1-83c1b07d2d2a/content","… on the consistency, completeness and verification of software … enable formal verification and automation of the software … constraint language (OCL) support for model verification [67]. …",""
