"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Using a DSL and Fine-Grained Model Transformations to Explore the Boundaries of Model Verification","https://scispace.com/paper/using-a-dsl-and-fine-grained-model-transformations-to-1hc1pa1mkq","2011","Proceedings Article","Secure Software Integration and Reliability Improvement","M.F. van Amstel
M.G.J. van den Brand
Luc Engelen","10.1109/SSIRI-C.2011.26","https://scispace.com/pdf/using-a-dsl-and-fine-grained-model-transformations-to-1hc1pa1mkq.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a DSL and fine‑grained model transformations to enable verification—perfect match for MDE techniques. Provides formal verification of transformed models, but no SSI/VC context, limiting relevance to credential‑related criteria.","Traditionally, the state-space explosion problem in model checking is handled by applying abstractions and simplifications to the model that needs to be verified. In this paper, we propose a model-driven engineering approach that works the other way around. Instead of making a concrete model more abstract, we propose to refine an abstract model to make it more concrete. We propose to use fine-grained model transformations to enable model checking of models that are as close to the implementation model as possible. We applied our approach in a case study. The results show that it is possible to validate models that are more concrete when fine-grained transformations are applied."
"On the Automated Derivation of Domain-Specific UML Profiles","https://scispace.com/paper/on-the-automated-derivation-of-domain-specific-uml-profiles-4tjlaaduss","2017","Book Chapter","European Conference on Modelling Foundations and Applications","Alexander Kraas","10.1007/978-3-319-61482-3_1","https://scispace.com/pdf/on-the-automated-derivation-of-domain-specific-uml-profiles-4tjlaaduss.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on automated UML profile derivation using MDE; lacks any SSI/VC content, offers limited tool description, no case study or security analysis.","The model-driven engineering (MDE) of domain-specific languages (DSL) is becoming increasingly important. In this area, metamodels are the central artefacts, defining the syntax and semantics of DSLs. Different technologies are available to create metamodels, with the Meta Object Facility (MOF) being one of them. Apart from other uses, a MOF-based metamodel can serve as input for an automated derivation of a profile for the Unified Modeling Language (UML)."
"On Integrating Triple Graph Grammars and OCL for Model-Driven Development","https://scispace.com/paper/on-integrating-triple-graph-grammars-and-ocl-for-model-4w3rsgjfh9","2009","Dissertation","","Duc-Hanh Dang","","https://scispace.com/pdf/on-integrating-triple-graph-grammars-and-ocl-for-model-4w3rsgjfh9.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Integrates Triple Graph Grammars and OCL for MDE with formal semantics, but lacks any SSI/VC discussion, prototype, evaluation, or performance data.","Software systems become more and more complex. Despite significant advances in code-centric technologies such as advanced programming languages and integrated development environments (IDEs), developing complex software systems is still a laborious task. Model-centric software development has emerged as a promising paradigm, indicating a shift from “code-centric” to “model-centric” engineering. This paradigm puts forward a necessity as well as a challenge of a formal foundation for presenting precisely models and supporting automatic model manipulations. This thesis focuses on a model-driven approach in which metamodeling and model transformation are seen as the core of the approach. On the one hand, metamodeling, which is a means for defining modeling languages, aims to precisely present models for specific purposes. On the other hand, model transformation is a robust approach for (1) transforming models from one language into another language, (2) tackling the challenge how to choose a right level of abstraction, and to relate levels of abstraction with each other, and (3) supporting software evolution and maintenance. We propose an integration of two light-weight formal methods, the Object Constraint Language (OCL) and Triple Graph Grammars (TGGs), in order to form a core foundation for the model-driven approach. TGGs incorporating OCL allow us to explain relationships between models in precise way. On this foundation, we develop a textual language in order to describe transformations and to realize transformations. From such a declarative description of transformations, we propose employing OCL in order to derive operational scenarios for model transformation. This results in an OCL-based framework for model transformation. This framework offers means for transformation quality assurance such as verifying model transformations in an on-the-fly way, checking well-formedness of models, and maintaining model consistency. We explore case studies showing the practical applicability of our approach. Especially, TGGs incorporating OCL allow us to describe the operation semantics of use cases in a precise way. This approach on the one hand can be broaden in order to describe the operational semantics of modeling languages. On the other hand, it allows us to generate scenarios as test cases, to validate system behavior, and to check the conformance between use case models and design models. This supports basic constructions of an automatic and semi-automatic design."
"Model Driven Development of Simulation Models : Defining and Transforming Conceptual Models into Simulation Models by Using Metamodels and Model Transformations","https://scispace.com/paper/model-driven-development-of-simulation-models-defining-and-2ktlh8e4zh","2013","","","D. Küçükkeçeci Çetinkaya","10.4233/UUID:3DB45913-1662-429F-A385-ED53F5AC41FD","https://scispace.com/pdf/model-driven-development-of-simulation-models-defining-and-2ktlh8e4zh.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows comprehensive MDE techniques (metamodels, DSLs, transformations) for simulation; no SSI/VC focus, tooling, case study, or performance/security evaluation.","Modeling and simulation (M&S) is an effective method for analyzing and designing systems and it is of interest to scientists and engineers from all disciplines This thesis proposes the application of a model driven software development approach throughout the whole set of M&S activities and it proposes a formal model driven development framework for modeling and simulation, which is called MDD4MS The MDD4MS framework presents an integrated approach to bridge the gaps between different steps of a simulation study by using metamodeling and model transformations The practical examples with the MDD4MS framework showed that the framework is applicable and useful in the business process modeling and simulation domain This thesis mainly addresses the conceptual modeling and the simulation model development stages in the M&S lifecycle and the proposed framework can be incorporated into existing simulation methodologies for increasing the productivity, maintainability and quality of M&S projects"
"From Model to Mechanism: Enforcing Delegated Authority in SSI with Language-Based Security","https://scispace.com/paper/from-model-to-mechanism-enforcing-delegated-authority-in-ssi-2r01zx7o705g","2025","Journal Article","Mathematics","Muhamed Turkanović
Vid Keršič
Alen Horvat
Dominik Beron
Špela Čučko","10.3390/math13182971","","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SSI delegation model and VC schema extensions to enforce authority; aligns with W3C VC standards. Formalizes delegation semantics and embeds them in credential schema. Implements policy enforcement via Rego/OPA and validates with postal and academic case studies. Provides formal semantics, security analysis, and interoperability discussion, but lacks explicit MDE methodology and performance benchmarks.","Delegation of authority remains a critical yet insufficiently addressed capability in Self-Sovereign Identity (SSI) systems. Building on an existing delegation model that introduced the concept of a Verifiable Mandate (VM) for expressing authority and access rights, this paper extends the approach with a rigorous formalization of delegation semantics, enabling unambiguous reasoning over roles, grants, and constraints. The formal model is aligned with standards from the World Wide Web Consortium (W3C), and its constructs are embedded into an extended credential schema that preserves compatibility with the Verifiable Credentials (VC) data model while introducing delegation-specific attributes. A generalized VM schema is defined, supporting both generic and business-specific instantiations, and ensuring structural and semantic interoperability. Policy compliance is operationalized through a policy-based enforcement architecture, where rules are authored in the Rego language and evaluated at runtime by the Open Policy Agent (OPA). The architecture incorporates trusted registries for schema and policy distribution, allowing verifiers to define and enforce context-specific delegation rules in a modular and interoperable manner. Validation through realistic scenarios, such as postal service and academic use cases, demonstrates how formal semantics, schema validation, and language-based policy enforcement can be combined to enable secure, verifiable, and context-aware delegation in SSI ecosystems. "
"DReM: Efficiently Generating Domain-Specific Requirements Modeling Tool","https://scispace.com/paper/drem-efficiently-generating-domain-specific-requirements-2gd9uwbulf6y","2025","Journal Article","","Ruixin Geng
Jingyuan Weng
Ning Ge
J. W. Li
Chunming Hu","10.1145/3696630.3728574","","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MDE to auto‑generate DSL‑based modeling tools; provides a working prototype and reports 95%+ time savings versus existing platforms.","In requirements modeling, developing domain-specific languages (DSLs) and their modeling tools entails significant costs. Even minor modifications to a requirements DSL require the redevelopment of the modeling tool. To overcome this challenge, we integrate Model-Driven Engineering (MDE) and low-code development principles to introduce DReM, a tool for efficiently generating requirements modeling tools. Experiments with DReM demonstrate its ability to improve the efficiency of requirements modeling tool development, achieving a reduction in development time of 95.08% and 78.17% compared to Sirius and OutSystems, respectively. A video walkthrough of the case study is available on YouTube at https://youtu.be/ofvn_YJZLOE, while a prototype of DReM can be accessed at http://82.156.98.49:3005/, and a generated requirements modeling tool is provided at http://82.156.98.49:5173/."
"Model-Driven Fault Injection in Java Source Code","https://scispace.com/paper/model-driven-fault-injection-in-java-source-code-1ue3kqfen0","2020","Proceedings Article","International Symposium on Software Reliability Engineering","Elder Rodrigues
Leonardo Montecchi
Andrea Ceccarelli","10.1109/ISSRE5003.2020.00046","https://scispace.com/pdf/model-driven-fault-injection-in-java-source-code-1ue3kqfen0.pdf","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MDE DSL and transformations to inject faults in Java; provides a tool and case study on six projects. No SSI/VC content, formal semantics, security, or standards interoperability.","The injection of software faults in source code requires accurate knowledge of the programming language, both to craft faults and to identify injection locations. As such, fault injection and code mutation tools are typically tailored for a specific language and have limited extensibility. In this paper we present a model-driven approach to craft and inject software faults in source code. While its concrete application is presented for Java, the workflow we propose does not depend on a specific programming language. Following Model-Driven Engineering principles, the faults and the criteria to select injection locations are described using structured, machine-readable specifications based on a domain-specific language. Then, automated transformations craft artifacts based on OCL and Java, which represent the faults to be injected and are able to select the candidate injection locations. Finally, artifacts are executed against the target source code, performing the injection in the desired locations. We devise a supporting tool and exercise the approach injecting 13 different kinds of software faults in the Java source code of six different projects."
"Herramienta Model Driven Engineering destinada a la generación de Contratos Inteligentes para la plataforma de Blockchain Ethereum","https://scispace.com/paper/herramienta-model-driven-engineering-destinada-a-la-ehtoo8gl05","2024","Journal Article","REVISTA COLOMBIANA DE TECNOLOGIAS DE AVANZADA (RCTA)","Edgar Roberto Dulce Villarreal
Julio Ariel Hurtado Alegría
Eduard Antonio Mantilla Torres
Yenny Stella Núñez Álvarez
José Garcí­a-Alonso","10.24054/rcta.v1i43.2778","https://scispace.compdf/herramienta-model-driven-engineering-destinada-a-la-ehtoo8gl05.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MDE (metamodel, model‑to‑text) to generate Solidity smart contracts; provides a tool and health‑care case study, but does not address SSI/VC, formal semantics, security, performance, or standards interoperability.","La tecnología Blockchain está creciendo a un ritmo acelerado en diferentes entornos. Los contratos inteligentes (SC) son programas descentralizados inmutables para plataformas Blockchain que hacen cumplir, monitorear y ejecutar acuerdos, sin la intervención de un tercero de confianza. Pero, debido a sus especificidades, su desarrollo es un proceso complicado, ya que existen restricciones arquitectónicas de cada plataforma, que los desarrolladores deben comprender. En este trabajo, presentamos una herramienta Model Driven Engineering destinada a la generación de SC para la plataforma de Blockchain Ethereum, para el lenguaje de programación Solidity. Esta herramienta está compuesta de un Metamodelo Especifico de la Plataforma y una Transformación de Modelo a Texto, que permiten generar el código fuente de los SC. También, presentamos una prueba de concepto donde generamos e implementamos un metamodelo, un modelo y desplegamos SC en un entorno sanitario. Los resultados son satisfactorios en cuanto a la sintaxis de los SC generados. "
"SCEditor-Web: Bridging Model-Driven Engineering and Generative AI for Smart Contract Development","https://scispace.com/paper/sceditor-web-bridging-model-driven-engineering-and-2sdn5g40ae6f","2025","Journal Article","Information","Yassine Ait Hsain
Naziha Laaz
Samir Mbarki
Yassine Ait Hsain
Naziha Laaz
Samir Mbarki","10.3390/info16100870","","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MDE metamodel and DSL for smart contracts; provides a web‑based prototype with experiments, but does not address SSI/VC, related semantics, security, performance, or standards.","Smart contracts are central to blockchain ecosystems, yet their development remains technically demanding, error-prone, and tied to platform-specific programming languages. This paper introduces SCEditor-Web, a web-based modeling environment that combines model-driven engineering (MDE) with generative artificial intelligence (Gen-AI) to simplify contract design and code generation. Developers specify the structural and behavioral aspects of smart contracts through a domain-specific visual language grounded in a formal metamodel. The resulting contract model is exported as structured JSON and transformed into executable, platform-specific code using large language models (LLMs) guided by a tailored prompt engineering process. A prototype implementation was evaluated on Solidity contracts as a proof of concept, using representative use cases. Experiments with state-of-the-art LLMs assessed the generated contracts for compilability, semantic alignment with the contract model, and overall code quality. Results indicate that the visual-to-code workflow reduces manual effort, mitigates common programming errors, and supports developers with varying levels of expertise. The contributions include an abstract smart contract metamodel, a structured prompt generation pipeline, and a web-based platform that bridges high-level modeling with practical multi-language code synthesis. Together, these elements advance the integration of MDE and LLMs, demonstrating a step toward more accessible and reliable smart contract engineering. "
"Domain Specific Embedded Languages and Model Driven Engineering","https://scispace.com/paper/domain-specific-embedded-languages-and-model-driven-57qlxw36zs","2011","Book","","Stefan Kroes","","https://scispace.com/pdf/domain-specific-embedded-languages-and-model-driven-57qlxw36zs.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Ruby to build a DSL for model transformations, implements the TRans language, and discusses ordering and tracing; lacks any SSI/VC content, formal semantics, security analysis, or interoperability with credential standards.","Model Driven Engineering (MDE) [20] is an emerging approach to software engineering. The main concepts in MDE are models, meta-models and transformations. Models are the first class entities of any MDE environment. A model is a representation of its subject, describing only the relevant aspects of it and omitting everything else. While a model’s subject is represented by the model, the model can be
interpreted to obtain information about its subject. The subjects of these models are parts of aspects of the software system under development. Models can be refined and (de)composed using transformations, defined in a Model Transformation Language (MTL). MTL’s are often implemented using a traditional approach to language design, using a dedicated compiler and/or interpreter. We will explore an alternative but equally valid method of developing a
MTL, namely developing it as an Domain Specific Language (DSL) within the context of an existing general purpose programming language (host language). This kind of DSL is often referred to as an DSEL [18] and it’s essentially an advanced form of the Application Programmer Interface (API).
We chose Ruby as our host language because of its concise and flexible syntax, extensive features for the creation of DSEL’s, support for declarative and functional programming, reflective features and mature standard library. For our goal, the most important of these are code blocks that can be evaluated in any context and operator overloading.
This report introduces and explains our Model transformation Embedded Language (MTEL) called TRans. The defining characteristics of TRans, apart from it being a MTEL, are support multiple source and target models, automatic execution ordering using a topological sort algorithm, advanced tracing functionality and Aspect Oriented Programming (AOP) features. By implementing TRans as a MTEL we where able to reduce implementation effort significantly. We deem that this reduction far outweighs
the disadvantages of this approach, especially for research purposes."
"Model-driven engineering with domain-specific meta-modelling languages","https://scispace.com/paper/model-driven-engineering-with-domain-specific-meta-modelling-2r9ib8okmk","2015","Journal Article","Software and Systems Modeling","Juan de Lara
Esther Guerra
Jesús Sánchez Cuadrado","10.1007/S10270-013-0367-Z","https://scispace.com/pdf/model-driven-engineering-with-domain-specific-meta-modelling-2r9ib8okmk.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on domain‑specific meta‑modelling and Multi‑Level MDE; provides MetaDepth tool implementation, but contains no SSI/VC content, case studies, or performance/security analysis.","Domain-specific modelling languages are normally defined through general-purpose meta-modelling languages like the MOF. While this is satisfactory for many model-driven engineering (MDE) projects, several researchers have identified the need for domain-specific meta-modelling (DSMM) languages. These provide customised domain-specific meta-modelling primitives aimed at the definition of modelling languages for a specific domain, as well as the construction of meta-model families. Unfortunately, current approaches to DSMM rely on ad hoc methods which add unnecessary complexity to the realization of DSMM in practice. Hence, the goal of this paper is to simplify the definition and usage of DSMM languages. For this purpose, we apply multi-level meta-modelling for the systematic engineering of DSMM architectures. Our method integrates techniques to control the meta-modelling primitives offered to the users of the DSMM languages, provides a flexible approach to define textual concrete syntaxes for DSMM languages, and extends existing model management languages (for model-to-model transformation, in-place transformation and code generation) to work in a multi-level setting, thus enabling the practical use of DSMM in MDE. As a proof of concept, we report on a working implementation of these ideas in the MetaDepth tool."
"ModelSec: A Generative Architecture for Model-Driven Security","https://scispace.com/paper/modelsec-a-generative-architecture-for-model-driven-security-3w11solan7","2009","Journal Article","Journal of Universal Computer Science","Óscar Sánchez Ramón
Fernando Molina
Jesús García Molina
José Ambrosio Toval Álvarez","","https://scispace.com/pdf/modelsec-a-generative-architecture-for-model-driven-security-3w11solan7.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MDE to model security concerns and generate secure artifacts; provides security analysis but does not address SSI/VC, tooling, performance, or standards interoperability.","Increasingly, the success of software systems depends largely on how their security requirements are satisfied. However, developers are challenged in implement- ing these requirements, mainly because of the gap between the specification and imple- mentation, and the technical complexities of the current software infrastructures. Re- cently, Model-Driven Security has emerged as a new software development area aimed at overcoming these difficulties. This new paradigm takes advantage of the benefits of the model driven software development techniques for modeling and implementing security concerns. Following this trend, this paper proposes a model driven security approach named ModelSec that offers a generative architecture for managing security requirements, from the requirement elicitation to the implementation stage. This ar- chitecture automatically generates security software artifacts (e.g. security rules) by means of a model transformation chain composed of two-steps. Firstly, a security in- frastructure dependent model is derived from three models, which express the security restrictions, the design decisions and the information needed on the target platform. Then, security software artifacts are produced from the previously generated model. A Domain-Specific Language for security requirements management has been built, which is based on a metamodel specifically designed for this purpose. An application example that illustrates the approach and the Eclipse tools implemented to support it are also shown."
"Domain-specific textual meta-modelling languages for model driven engineering","https://scispace.com/paper/domain-specific-textual-meta-modelling-languages-for-model-1kf17qz9cs","2012","Book Chapter","European Conference on Modelling Foundations and Applications","Juan de Lara
Esther Guerra","10.1007/978-3-642-31491-9_20","https://scispace.com/pdf/domain-specific-textual-meta-modelling-languages-for-model-1kf17qz9cs.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides deep MDE methods and formal DSL semantics, but lacks any SSI/VC content, implementation, case study, security, performance, or standards interoperability.","Domain-specific modelling languages are normally defined through general-purpose meta-modelling languages like the MOF. While this is satisfactory for many Model-Driven Engineering (MDE) projects, several researchers have identified the need for domain-specific meta-modelling (DSMM) languages providing customised meta-modelling primitives aimed at the definition of modelling languages in a specific domain, as well as the construction of meta-model families.

In this paper, we discuss the potential of multi-level meta-modelling for the systematic engineering of DSMM architectures. For this purpose, we present: (i) several primitives and techniques to control the meta-modelling facilities offered to the users of the DSMM languages, (ii) a flexible approach to define textual concrete syntaxes for DSMM languages, (iii) extensions to model management languages enabling the practical use of DSMM in MDE, and (iv) an implementation of these ideas in the metaDepth tool."
