"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Unifying Multi-Level Modeling: A Position Paper","https://scispace.com/paper/unifying-multi-level-modeling-a-position-paper-qxoi07wod1e0","","","","Manfred A. Jeusfeld
Ulrich Frank","10.1109/models-c53483.2021.00083","","Multi-level modeling (MLM) as part of object-oriented modeling aims at fully utilizing the expressive power of multiple abstraction levels. While these levels where initially used to define domain-specific modeling languages, i.e. for linguistic purposes, the MLM community has long argued that there is much more to gain by tapping into ontological abstraction levels. While MLM is a rather specialized research field, there are now quite a number of different proposals. There is thus an opportunity to develop a uniform core of MLM that then possibly can become part of a standard and be taken up by the larger modeling community.","This position paper advocates for a unified multi-level modeling framework, leveraging ontological abstraction levels to enhance expressiveness, and proposes a standard core to integrate diverse MLM proposals, expanding its adoption in the broader modeling community."
"Multi-level ontology-based conceptual modeling","https://scispace.com/paper/multi-level-ontology-based-conceptual-modeling-56cdarjvy6","2017","Journal Article","Data and Knowledge Engineering","Victorio Albani de Carvalho
Victorio Albani de Carvalho
João Paulo A. Almeida
Claudenir M. Fonseca
Giancarlo Guizzardi
Giancarlo Guizzardi","10.1016/J.DATAK.2017.03.002","","Since the late 1980s, there has been a growing interest in the use of foundational ontologies to provide a sound theoretical basis for the discipline of conceptual modeling. This has led to the development of ontology-based conceptual modeling techniques whose modeling primitives reflect the conceptual categories defined in a foundational ontology. The ontology-based conceptual modeling language OntoUML, for example, incorporates the distinctions underlying the taxonomy of types in the Unified Foundational Ontology (UFO) (e.g., kinds, phases, roles, mixins, etc.). This approach has focused so far on the support to types whose instances are individuals in the subject domain, with no provision for types of types (or categories of categories). In this paper we address this limitation by extending the Unified Foundational Ontology with the MLT multi-level theory. The UFO-MLT combination serves as a foundation for conceptual models that can benefit from the ontological distinctions of UFO as well as MLT's basic concepts and patterns for multi-level modeling. We discuss the impact of the extended foundation to multi-level conceptual modeling.","The UFO-MLT combination serves as a foundation for conceptual models that can benefit from the ontological distinctions of UFO as well as MLT's basic concepts and patterns for multi-level modeling."
"Multilevel Theory, Research, and Methods in Organizations: Foundations, Extensions, and New Directions","https://scispace.com/paper/multilevel-theory-research-and-methods-in-organizations-5exts93yjx","2000","Book","","Katherine J. Klein
Steve W. J. Kozlowski","","","EXTENDING MULTILEVEL ORGANIZATIONAL THEORY. A Multilevel Approach to Theory and Research in Organizations: Contexual Temporal, and Emergent Processes. Personnel Selection Psychology: Multilevel Considerations. Performance Appraisal and Performance Management: A Multilevel Analysis. A Multilevel Approach to Training Effectiveness: Enhancing Horizontal and Vertical Transfer. Moving HR to a Higher Level: HR Practices and Organizational Effectiveness. Interorganizational Relationships: A Multilevel Perspective. Multilevel Issues and Culture: An Integrative View. ANALYZING MULTILEVEL DATA. Within-Group Agreement, Non-Independence, and Reliability: Implications for Data Aggregation. The Cross-Level Operator in Regression, ANCOVA, and Contexual Analysis. Within and Between Analysis: The Varient Paradigm as an Underlying Approach to Theory Building and Testing. The Application of Hierarchical Linear Modeling to Organizational Research. Multilevel Analytical Techniques: Commonalities, Differences, and Continuing Questions. COMMENTARY. Networks and Frog Ponds: Trends in Multilevel Research. Multilevel Competencies and Missing Linkages.","In this article, a multilevel approach to theory and research in organizations is presented, where the cross-level operator in regression, ANCOVA, and Contexual analysis are used."
"A Bayesian actor-oriented multilevel relational event model with
  hypothesis testing procedures","https://scispace.com/paper/a-bayesian-actor-oriented-multilevel-relational-event-model-jklmhxmz","2022","Posted Content","","","10.48550/arxiv.2204.10676","http://arxiv.org/pdf/2204.10676","Relational event network data are becoming increasingly available. Consequently, statistical models for such data have also surfaced. These models mainly focus on the analysis of single networks, while in many applications, multiple independent event sequences are observed, which are likely to display similar social interaction dynamics. Furthermore, statistical methods for testing hypotheses about social interaction behavior are underdeveloped. Therefore, the contribution of the current paper is twofold. First, we present a multilevel extension of the dynamic actor-oriented model, which allows researchers to model sender and receiver processes separately. The multilevel formulation enables principled probabilistic borrowing of information across networks to accurately estimate drivers of social dynamics. Second, a flexible methodology is proposed to test hypotheses about common and heterogeneous social interaction drivers across relational event sequences. Social interaction data between children and teachers in classrooms are used to showcase the methodology. ","In this paper , a multilevel extension of the dynamic actor-oriented model is proposed to model sender and receiver processes separately, which enables principled probabilistic borrowing of information across networks to accurately estimate drivers of social dynamics."
"Multilevel Structural Equation Models: the Limited Information Approach and the Multivariate Multilevel Approach","https://scispace.com/paper/multilevel-structural-equation-models-the-limited-dw1vuk8crv","2004","Book Chapter","","Joop J. Hox
Cora J. M. Maas","10.1007/978-1-4020-1958-6_8","","Social and behavioral research often involves problems and data that are viewed as a hierarchical system, with individuals and groups defined at separate levels of this hierarchical system. Standard multivariate models are not appropriate for the analysis of such hierarchical systems, even if the analysis includes only variables at the lowest (individual) level, because the standard assumption of independent and identically distributed observations is generally not valid. The consequences of using uni-level analysis methods on multilevel data are well known: the parameter estimates are unbiased but inefficient, and the standard errors are negatively biased, which results in spuriously ‘significant’ effects (cf. Snijders and Bosker, 1999; Hox, 2002). Multilevel analysis techniques for the linear multiple regression model are well developed and the required software is widely available (Raudenbush and Bryk, 2002; Goldstein, 1995).","For example, this paper showed that standard multivariate models are not appropriate for the analysis of such hierarchical systems, even if the analysis includes only variables at the lowest (individual) level, because the standard assumption of independent and identically distributed observations is generally not valid."
"Catching Up on Multilevel Modeling (in press, Annual Review of Psychology)","https://scispace.com/paper/catching-up-on-multilevel-modeling-in-press-annual-review-of-63cgmxzoxigh","","","","Lesa  Hoffman
Ryan W. Walters","10.31234/osf.io/j8x9k","","The present review focuses on the use of multilevel models in psychology and other social sciences. We target readers aiming to get up to speed on current best practices and sources of controversy in the specification of multilevel models. We first describe common use cases for clustered, longitudinal, and cross-classified designs, as well as their combinations. Using examples from both clustered and longitudinal designs, we then address issues of centering for observed predictor variables: its use in creating interpretable fixed and random effects, its relationship to endogeneity problems (correlations between predictors and model error terms), and its translation into multivariate multilevel models (using latent centering within multilevel structural equation models). Finally, we describe novel extensions—mixed-effects location–scale models—designed for predicting differential amounts of variability. An online supplement provides suggested introductory textbooks for getting started with multilevel modeling.","This review provides an overview of multilevel modeling in psychology and social sciences, covering common use cases, centering for observed predictors, and novel extensions, aiming to update readers on best practices and controversies in model specification."
"Conceptual Foundations of Multilevel Social Networks","https://scispace.com/paper/conceptual-foundations-of-multilevel-social-networks-3ua0107lp4","2019","Posted Content","Social Science Research Network","Srikanth Paruchuri
Martin C. Goossen
Corey Phelps
Corey Phelps","","","Recognizing the multilevel nature of social networks and incorporating this perspective into our theorizing and analytics can help us in specifying and testing more accurate models and generate a better understanding of the integrated influence of social networks at different levels. Because organizational networks are a multilevel phenomenon and ignoring their multilevel nature presents important limitations to understanding them, they require a multilevel theory. This chapter addresses these limitations by drawing on and extending the nascent research on multilevel networks. It briefly introduces foundational social network concepts and then defines multilevel social networks, clarifying what constitutes multilevel social networks. The chapter then presents multilevel network constructs, with special emphasis on understanding constructs at higher levels than the individual. Next, it presents a framework of multilevel network models and explains how social networks at different levels influence one another, and how networks at different levels jointly influence other phenomena.","In this article, a framework of multilevel network models is presented to understand how social networks at different levels influence one another, and how networks at various levels jointly influence other phenomena."
"The Curious Case of Cross-Level Effects: Refining Our Understanding to Match Our Methods","https://scispace.com/paper/the-curious-case-of-cross-level-effects-refining-our-65mwa27c","2022","Journal Article","Proceedings - Academy of Management","G. James Lemoine
Kalan R. Norris
Hamed Ghahremani","10.5465/ambpp.2022.16824abstract","","New methodological advances and guidance in estimating ‘cross-level effects’ in multilevel models have led to a proliferation of published research examining purportedly cross-level direct relationships, mediations, and interactions. However, our review of published ‘cross- level’ papers in top journals reveals that in many cases, scholars argue for or interpret relationships that are meaningfully different from the ones actually being tested. In this paper, we attempt to build an accessible explanation for what ‘cross-level effects’ actually are and how they operate in practice, detailing with sample datasets, results, and examples from the literature how they are frequently misunderstood. We conclude that to date the management literature has not yet developed and refined theory accordingly to match recent helpful methodological innovations. We attempt to address this issue by providing specific guidance on how to argue and interpret the various types of ‘cross-level’ effects, and spotlighting exemplar papers in the literature that accomplish this accurately. ","In this paper , a review of published cross-level effects in top management journals reveals that in many cases, scholars argue for or interpret relationships that are meaningfully different from the ones actually being tested."
"Multimodeling as a unified modeling framework","https://scispace.com/paper/multimodeling-as-a-unified-modeling-framework-2p377gk38u","1993","Proceedings Article","Winter Simulation Conference","Paul A. Fishwick","10.1145/256563.256727","https://scispace.com/pdf/multimodeling-as-a-unified-modeling-framework-2p377gk38u.pdf","In this tutorial talk, we will present the technique of multimodeling which permits one to create large, structured models with many levels of abstraction from high levels of granularity down to continuous state models. Multimodeling, in a nutshell, endows the simulationist with the capability to blend different model types together to form hybrid models. To model a milk sterilization facility, for instance, might involve a finite state machine or Petri net at the high level to model phase transitions associated with transporting the milk, heating the milk and packaging. Lower level functional block models refine the FSA or Petri net states to define relationships in a lower level phase space with variables representing temperature, pressure, volume and position. Multimodeling offers a unified view toward modeling with well known model types instead of promoting a singular model type which is insufficient to model large scale systems at many levels (Fishwick 1994).","This tutorial talk will present the technique of multimodeling which permits one to create large, structured models with many levels of abstraction from high levels of granularity down to continuous state models."
"Conceptual Foundations of Multilevel Social Networks.","https://scispace.com/paper/conceptual-foundations-of-multilevel-social-networks-ikv6kexhyk1e","","","","Srikanth Paruchuri
Martin C. Goossen
Corey Phelps","10.1037/0000115-010","","Recognizing the multilevel nature of social networks and incorporating this perspective into our theorizing and analytics can help us in specifying and testing more accurate models and generate a better understanding of the integrated influence of social networks at different levels. Because organizational networks are a multilevel phenomenon and ignoring their multilevel nature presents important limitations to understanding them, they require a multilevel theory. This chapter addresses these limitations by drawing on and extending the nascent research on multilevel networks. It briefly introduces foundational social network concepts and then defines multilevel social networks, clarifying what constitutes multilevel social networks. The chapter then presents multilevel network constructs, with special emphasis on understanding constructs at higher levels than the individual. Next, it presents a framework of multilevel network models and explains how social networks at different levels influence one another, and how networks at different levels jointly influence other phenomena.","This chapter addresses limitations in understanding organizational networks by introducing a multilevel theory, defining multilevel social networks, and presenting a framework of multilevel network models to analyze integrated social network influences at different levels."
"Beyond dyadic interdependence: Actor-oriented models for co-evolving social networks and individual behaviors:","https://scispace.com/paper/beyond-dyadic-interdependence-actor-oriented-models-for-co-54ihk9yyya","2007","Journal Article","International Journal of Behavioral Development","William J. Burk
Christian Steglich
Tom A. B. Snijders","10.1177/0165025407077762","https://scispace.com/pdf/beyond-dyadic-interdependence-actor-oriented-models-for-co-54ihk9yyya.pdf","Actor-oriented models are described as a longitudinal strategy for examining the co-evolution of social networks and individual behaviors. We argue that these models provide advantages over conventional approaches due to their ability to account for inherent dependencies between individuals embedded in a social network (i.e., reciprocity, transitivity) and model interdependencies between network and behavioral dynamics. We provide a brief explanation of actor-oriented processes, followed by a description of parameter estimates, model specification, and selection procedures used by the Simulation Investigation for Empirical Network Analyses (SIENA) software program (Snijders, Steglich, Schweinberger, & Huisman, 2006). To illustrate the applicability of these models, we provide an empirical example investigating the co-evolution of friendship networks and delinquent behaviors in a longitudinal sample of Swedish adolescents with the goal of simultaneously assessing selection and influence processes. Findings suggest both processes play a substantive role in the observed dynamics of delinquent behaviors, with influence having a relatively stronger role than selection (especially in reciprocated friendships).","In this article, actor-oriented models are described as a longitudinal strategy for examining the co-evolution of social networks and individual behaviors and they provide advantages over conventional approaches due to their ability to account for inherent dependencies between individuals embedded in a social network and model interdependencies between network and behavioral dynamics."
"By multi-layer to multi-level modeling","https://scispace.com/paper/by-multi-layer-to-multi-level-modeling-2m7c6yd2zk","2019","Proceedings Article","Model Driven Engineering Languages and Systems","Zoltan Theisz
Sándor Bácsi
Gergely Mezei
Ferenc A. Somogyi
Dániel Palatinszky","10.1109/MODELS-C.2019.00024","","Multi-level modeling has a well-defined and commonly agreed on aim of avoiding any kind of accidental complexity by the introduction of meta-levels. However, the actual means of achieving this goal are left to the discretion of the particular approach to decide on. Potency notion-based clabjects provide a suitable trade-off in this regard, hence other approaches tend to imitate these characteristics. Dynamic Multi-Layer Algebra (DMLA) is such an alternative formal modeling technique that has already been tested successfully against multi-level challenges such as the MULTI 2018 workshop's Bicycle Challenge. Although DMLA has proved its merit, it has still been lacking the capability of integrating object-oriented features such as inheritance into its formalism. Therefore, in this paper, we showcase one potential way of incorporating inheritance with abstract entities into DMLA without having to relinquish any of its formal precision such as self-validation or self-description. The paper both describes our technical solution and illustrates it through a model excerpt borrowed from the Bicycle Challenge.","This paper showcases one potential way of incorporating inheritance with abstract entities into DMLA without having to relinquish any of its formal precision such as self-validation or self-description."
"Multilevel Item Response Theory Models","https://scispace.com/paper/multilevel-item-response-theory-models-25t20apaof","2010","Book Chapter","","Jean-Paul Fox","10.1007/978-1-4419-0742-4_6","","The item response data structure is hierarchical since item responses are nested within respondents Often respondents are also grouped into larger units and variables are available that characterize the respondents and the higher-level units An item response modeling framework is discussed that includes a multilevel population model for the respondents and takes such a hierarchical data structure into account An important application area is in education, where response observations are grouped in students and students grouped in schools Several school e_ectiveness research studies are discussed The hierarchical item response model is extended in several directions to handle latent explanatory variables, model latent individual growth, and identify clusters of respondents","An item response modeling framework is discussed that includes a multilevel population model for the respondents and takes such a hierarchical data structure into account."
"Multilevel theory and the underspecification of multilevel models","https://scispace.com/paper/multilevel-theory-and-the-underspecification-of-multilevel-pwz6vz5n6a","1992","Journal Article","Quality & Quantity","Pieter van den Eeden","10.1007/BF00172432","","This article emphasises the importance of the adequate specification of models of multilevel analysis in accordance with multilevel theories. Until recent times, multilevel theories tried only to explain the direct effect of group characteristics on an individual's characteristic. It seems to be more suited to adopt a more general theoretical approach, in which it is assumed that group characteristics affects individual processes. There a treshold effect and a process effect have to be distinguished. The propositions result in a model specification within the random coefficient model of multilevel analysis. The theory and model recommended are illustrated by means of data of Dar and Resh's (1986) study into social learning environment.","The theory and model recommended are illustrated by means of data of Dar and Resh's (1986) study into social learning environment and result in a model specification within the random coefficient model of multilevel analysis."
