"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Filling the gap between requirements engineering and public key/trust management infrastructures","https://scispace.com/paper/filling-the-gap-between-requirements-engineering-and-public-3fixhux5d5","2004","Book Chapter","European Public Key Infrastructure Workshop","Paolo Giorgini
Fabio Massacci
John Mylopoulos
John Mylopoulos
Nicola Zannone","10.1007/978-3-540-25980-0_8","https://scispace.com/pdf/filling-the-gap-between-requirements-engineering-and-public-3fixhux5d5.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Integrates RE with PKI using RT roles, employs DLV logic programming for verification, but lacks explicit multi‑layer constraint modeling; touches security and privacy concerns; centered on credential‑based trust.","The last years have seen a major interest in designing and deploying trust management and public key infrastructures. Yet, it is still far from clear how one can pass from the organization and system requirements to the actual credentials and attribution of permissions in the PKI infrastructure. Our goal in this paper is filling this gap. We propose a formal framework for modeling and analyzing security and trust requirements, that extends the Tropos methodology for early requirements modeling. The key intuition that underlies our work is the identification of distinct roles for actors that manipulate resources, accomplish goals or execute tasks, and actors that own or permit usage of resources or goals. The paper also presents a simple case study and a PKI/trust management implementation."
"Cross trust: A decentralized MA-ABE mechanism for cross-border identity authentication","https://scispace.com/paper/cross-trust-a-decentralized-ma-abe-mechanism-for-cross-2n29xtcjaz","2024","Journal Article","International Journal of Critical Infrastructure Protection","Jian Chen
Fei Lu
Yuanzhe Liu
Sheng Peng
Zhiming Cai
Fu Mo","10.1016/j.ijcip.2024.100661","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Implements decentralized MA‑ABE with blockchain CA for cross‑border credential trust; lacks formal cross‑layer constraint model, but covers security, privacy, and includes a real deployment.","With an increasing demand for authenticated data exchange between jurisdictions, ensuring the privacy and security of data interactions is crucial for national security, public health, and economic vitality, becoming a fundamental national infrastructure. Current solutions can be categorized into two types: fully decentralized autonomous systems based on blockchains or centralized solutions that rely on authoritative centers such as certification authorities (CAs). In reality, a balance needs to be struck between guaranteed authority and privacy independence. A certain authority is needed as an authorization guarantee, and decentralization is required to ensure privacy and the independence of the authority. This paper proposes a novel scheme, CT-MA-ABE (Cross-Trust Multiple Authorization Attribute-Based Encryption), to address these issues by implementing MA-ABE for cross-border institutional authorization interactions, utilize blockchain certification authority (BCA) for credibility and encryption-based authorization to protect attribute data privacy. This solution integrates the role of 'notary' in cross-border interactions, addressing the supervision problem in fully decentralized approaches while also considering the trust issue in centralized systems. This paper also introduces the Universal Certificate Authority Pool (UCAP), an innovative hybrid federated authorization method, creatively utilizing the implied authorization conditions of attributes to create a flexible and transitive authorization mechanism based on attribute relationships and extensions, enhancing privacy protection and improving the speed of authorization matrix calculation. The successful deployment of the system between the legal jurisdictions in South China, Zhuhai and Macau as a critical infrastructure component for securing data interactions further demonstrates its effectiveness as a reliable and secure solution. "
"Constraining Credential Usage in Logic-Based Access Control","https://scispace.com/paper/constraining-credential-usage-in-logic-based-access-control-24alu4wg2q","2010","Proceedings Article","IEEE Computer Security Foundations Symposium","Lujo Bauer
Limin Jia
Divya Sharma","10.1109/CSF.2010.18","https://scispace.com/pdf/constraining-credential-usage-in-logic-based-access-control-24alu4wg2q.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses authorization‑logic proofs to define credential constraints, providing a formal method and focusing on credential‑based trust, but lacks multi‑layer or multi‑concern treatment and empirical validation.","Authorization logics allow concise specification of flexible access-control policies, and are the basis for logic-based access-control systems. In such systems, resource owners issue credentials to specify policies, and the consequences of these policies are derived using logical inference rules. Proofs in authorization logics can serve as capabilities for gaining access to resources. Because a proof is derived from a set of credentials possibly issued by different parties, the issuer of a specific credential may not be aware of all the proofs that her credential may make possible. From this credential issuer’s standpoint, the policy expressed in her credential may thus have unexpected consequences. To solve this general problem, we propose a system in which credentials can specify constraints on how they are to be used. We show how to modularly extend wellstudied authorization logics to support the specification and enforcement of such constraints. A novelty of our design is that we allow the constraints to be arbitrary well-behaved functions over authorization proofs. Since all the information about an access is contained in the proofs, this makes it possible to express many interesting constraints. We study the formal properties of such a system, and give examples of constraints."
"A Logical Approach to Cloud Federation","https://scispace.com/paper/a-logical-approach-to-cloud-federation-6g8y3gopqz","2017","Posted Content","arXiv: Distributed, Parallel, and Cluster Computing","Qiang Cao
Yuanjun Yao
Jeffrey S. Chase","","https://scispace.compdf/a-logical-approach-to-cloud-federation-6g8y3gopqz.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Datalog to model trust and certificates, centering on federated identity. Formal logic is clear, but layers and multiple concerns are not explicitly addressed.","Federated clouds raise a variety of challenges for managing identity, resource access, naming, connectivity, and object access control. This paper shows how to address these challenges in a comprehensive and uniform way using a data-centric approach. The foundation of our approach is a trust logic in which participants issue authenticated statements about principals, objects, attributes, and relationships in a logic language, with reasoning based on declarative policy rules. We show how to use the logic to implement a trust infrastructure for cloud federation that extends the model of NSF GENI, a federated IaaS testbed. It captures shared identity management, GENI authority services, cross-site interconnection using L2 circuits, and a naming and access control system similar to AWS Identity and Access Management (IAM), but extended to a federated system without central control."
"SAFE: A Declarative Trust Management System with Linked Credentials","https://scispace.com/paper/safe-a-declarative-trust-management-system-with-linked-5b0d2j8oju","2015","Posted Content","arXiv: Cryptography and Security","Vamsi Thummala
Jeffrey S. Chase","","https://arxiv.org/pdf/1510.04629.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses logic-based declarative language to specify trust constraints; builds credential sets and links them for proof contexts. Addresses identity trust with credentials, but lacks explicit multi‑layer or multi‑concern constraint modeling.","We present SAFE, an integrated system for managing trust using a logic-based declarative language. Logical trust systems authorize each request by constructing a proof from a context---a set of authenticated logic statements representing credentials and policies issued by various principals in a networked system. 
A key barrier to practical use of logical trust systems is the problem of managing proof contexts: identifying, validating, and assembling the credentials and policies that are relevant to each trust decision. This paper describes a new approach to managing proof contexts using context linking and caching. Credentials and policies are stored as certified logic sets named by secure identifiers in a shared key-value store. SAFE offers language constructs to build and modify logic sets, link sets to form unions, pass them by reference, and add them to proof contexts. SAFE fetches and validates credential sets on demand and caches them in the authorizer. We evaluate and discuss our experience using SAFE to build secure services based on case studies drawn from practice: a secure name service resolver, a secure proxy shim for a key value store, and an authorization module for a networked infrastructure-as-a-service system with a federated trust structure."
"Formal Modeling and Verification of Generic Credential Management Processes for Industrial Cyber–Physical Systems","https://scispace.com/paper/formal-modeling-and-verification-of-generic-credential-561i2xkq8mup","2025","Journal Article","IEEE Embedded Systems Letters","Julian Göppert
Axel Sikora","10.1109/les.2025.3598202","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses ProVerif to formally verify certificate‑based authentication, providing strong security guarantees for credential management. Does not address multi‑layer or multi‑concern constraint modeling.","Industrial cyber-physical systems (ICPS) face rising cyberattacks, requiring secure credential management also in resource-constrained embedded systems. Standards specifying field level communication of ICPS (e.g., PROFINET or OPC UA) define protocol-specific credential management processes, yet lack formal security verification. We propose a generic model capturing initial security onboarding and automated credential provisioning. Using ProVerif, an automatic symbolic protocol verifier, we formalize certificate-based authentication under a Dolev-Yao adversary, verifying private key secrecy, component authentication, and mutual authentication with the operator domain. Robustness checks confirm resilience against key leakage and highlight the vulnerabilities of the trust on first use concept proposed by the standards. Our model offers the first formal guarantees for secure credential management in ICPS."
"Formal verification of the W3C web authentication protocol","https://scispace.com/paper/formal-verification-of-the-w3c-web-authentication-protocol-q89zwsdkah","2018","Proceedings Article","","Iness Ben Guirat
Harry Halpin","10.1145/3190619.3190640","https://dl.acm.org/doi/pdf/10.1145/3190619.3190640","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses ProVerif to formally specify and verify security and privacy constraints of WebAuthn. Addresses security and privacy concerns, but lacks multi‑layer analysis and broader cross‑concern modeling.","The science of security can be set on firm foundations via the formal verification of protocols. New protocols can have their design validated in a mechanized manner for security flaws, allowing protocol designs to be scientifically compared in a neutral manner. Given that these techniques have discovered critical flaws in protocols such as TLS 1.2 and are now being used to re-design protocols such as TLS 1.3, we demonstrate how formal verification can be used to analyze new protocols such as the W3C Web Authentication API. We model W3C Web Authentication with the formal verification language ProVerif, showing that the protocol itself is secure. However, we also stretch the boundaries of formal verification by trying to verify the privacy properties of W3C Web Authentication given in terms of the same origin policy. We use ProVerif to show that without further mandatory requirements in the specification, the claimed privacy properties do not hold. Next steps on how formal verification can be further integrated into standards and the further development of the privacy properties of W3C Web Authentication is outlined."
"Mapping requirements specifications into a formalized blockchain-enabled authentication protocol for secured personal identity assurance","https://scispace.com/paper/mapping-requirements-specifications-into-a-formalized-32pezhcqr5","2017","Book Chapter","","Benjamin Leiding
Alex Norta","10.1007/978-3-319-70004-5_13","https://www.researchgate.net/profile/Alex-Norta/publication/319302321_Mapping_Requirements_Specifications_into_a_Formalized_Blockchain-Enabled_Authentication_Protocol_for_Secured_Personal_Identity_Assurance/links/59a1c46aa6fdcc1a314d5e21/Mapping-Requirements-Specifications-into-a-Formalized-Blockchain-Enabled-Authentication-Protocol-for-Secured-Personal-Identity-Assurance.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Colored Petri Nets to formally model Authcoin protocol; focuses on credential‑based identity assurance but stays within a single protocol layer and does not define multi‑layer or multi‑concern constraints.","The design and development of novel security and authentication protocols is a challenging task. Design flaws, security and privacy issues as well as incomplete specifications pose risks for its users. Authcoin is a blockchain-based validation and authentication protocol for secure identity assurance. Formal methods, such as Colored Petri Nets (CPNs), are suitable to design, develop and analyze such new protocols in order to detect flaws and mitigate identified security risks. In this work, the Authcoin protocol is formalized using Colored Petri Nets resulting in a verifiable CPN model. An Agent-Oriented Modeling (AOM) methodology is used to create goal models and corresponding behavior models. Next, these models are used to derive the Authcoin CPN models. The modeling strategy as well as the required protocol semantics are explained in detail. Furthermore, we conduct a state-space analysis on the resulting CPN model and derive specific model properties. The result is a complete and correct formal specification that is used to guide future implementations of Authcoin."
"A Tutorial on the Interoperability of Self-sovereign Identities","https://scispace.com/paper/a-tutorial-on-the-interoperability-of-self-sovereign-b89pozp1","2022","Posted Content","","","10.48550/arxiv.2208.04692","https://scispace.com/pdf/a-tutorial-on-the-interoperability-of-self-sovereign-b89pozp1.pdf","- **Relevance Score:** 16/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SSI tutorial to map authentication, authorization, and cryptographic primitives across four layers; mentions security, privacy, and compliance concerns but lacks formal models or formal methods; centers on credential‑based identity.","Self-sovereign identity is the latest digital identity paradigm that allows users, organizations, and things to manage identity in a decentralized fashion without any central authority controlling the process of issuing identities and verifying assertions. Following this paradigm, implementations have emerged in recent years, with some having different underlying technologies. These technological differences often create interoperability problems between software that interact with each other from different implementations. Although a common problem, there is no common understanding of self-sovereign identity interoperability. In the context of this tutorial, we create a definition of interoperability of self-sovereign identities to enable a common understanding. Moreover, due to the decentralized nature, interoperability of self-sovereign identities depends on multiple components, such as ones responsible for establishing trust or enabling secure communication between entities without centralized authorities. To understand those components and their dependencies, we also present a reference model that maps the required components and considerations that build up a self-sovereign identity implementation. The reference model helps address the question of how to achieve interoperability between different implementations. "
"A logic-based framework for attribute based access control","https://scispace.com/paper/a-logic-based-framework-for-attribute-based-access-control-wuilfi5bol","2004","Proceedings Article","Formal Methods in Security Engineering","Lingyu Wang
Duminda Wijesekera
Sushil Jajodia","10.1145/1029133.1029140","https://scispace.com/pdf/a-logic-based-framework-for-attribute-based-access-control-wuilfi5bol.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses CLP(SET) logic to formalize attribute‑based policies, but does not address credential‑based trust, cross‑layer or cross‑concern constraints.","Attribute based access control (ABAC) grants accesses to services based on the attributes possessed by the requester. Thus, ABAC differs from the traditional discretionary access control model by replacing the subject by a set of attributes and the object by a set of services in the access control matrix. The former is appropriate in an identity-less system like the Internet where subjects are identified by their characteristics, such as those substantiated by certificates. These can be modeled as attribute sets. The latter is appropriate because most Internet users are not privy to method names residing on remote servers. These can be modeled as sets of service options. We present a framework that models this aspect of access control using logic programming with set constraints of a computable set theory [DPPR00]. Our framework specifies policies as stratified constraint flounder-free logic programs that admit primitive recursion. The design of the policy specification framework ensures that they are consistent and complete. Our ABAC policies can be transformed to ensure faster runtimes."
"Identity Control Plane: The Unifying Layer for Zero Trust Infrastructure","https://scispace.com/paper/http://arxiv.org/abs/2504.17759v1","2025","Preprint","","Surya Teja Avirneni","","https://arxiv.org/pdf/2504.17759v1","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses ICP to unify SPIFFE, OIDC/SAML, and transaction tokens across layers; aligns with compliance drafts but lacks formal method specifications; addresses security and regulatory concerns; central to credential‑based trust.","This paper introduces the Identity Control Plane (ICP), an architectural framework for enforcing identity-aware Zero Trust access across human users, workloads, and automation systems. The ICP model unifies SPIFFE-based workload identity, OIDC/SAML user identity, and scoped automation credentials via broker-issued transaction tokens. We propose a composable enforcement layer using ABAC policy engines (e.g., OPA, Cedar), aligned with IETF WIMSE drafts and OAuth transaction tokens. The paper includes architectural components, integration patterns, use cases, a comparative analysis with current models, and theorized performance metrics. A FedRAMP and SLSA compliance mapping is also presented. This is a theoretical infrastructure architecture paper intended for security researchers and platform architects. No prior version of this work has been published."
"Trust models in ubiquitous computing","https://scispace.com/paper/trust-models-in-ubiquitous-computing-5e0y6wpgjm","2008","Journal Article","Philosophical Transactions of the Royal Society A","Karl Krukow
Mogens Nielsen
Vladimiro Sassone","10.1098/RSTA.2008.0134","https://scispace.com/pdf/trust-models-in-ubiquitous-computing-5e0y6wpgjm.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses higher‑order logic, Constraint Datalog, and fixed‑point semantics to model trust, but does not address multi‑layer or multi‑concern constraints; only loosely ties to credential‑based identity via trust frameworks like KeyNote and SPKI.","We recapture some of the arguments for trust-based technologies in ubiquitous computing, followed by a brief survey of some of the models of trust that have been introduced in this respect. Based on this, we argue for the need of more formal and foundational trust models."
"Remote Credential Management with Mutual Attestation for Trusted Execution Environments","https://scispace.com/paper/http://arxiv.org/abs/1804.10707v2","2018","Preprint","","Carlton Shepherd
Raja N. Akram
Konstantinos Markantonakis","","https://arxiv.org/pdf/1804.10707v2","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Scyther to formally verify credential management protocols across TEEs, offering cross‑layer insight but no explicit multi‑concern constraint model.","Trusted Execution Environments (TEEs) are rapidly emerging as a root-of-trust for protecting sensitive applications and data using hardware-backed isolated worlds of execution. TEEs provide robust assurances regarding critical algorithm execution, tamper-resistant credential storage, and platform integrity using remote attestation. However, the challenge of remotely managing credentials between TEEs remains largely unaddressed in existing literature. In this work, we present novel protocols using mutual attestation for supporting four aspects of secure remote credential management with TEEs: backups, updates, migration, and revocation. The proposed protocols are agnostic to the underlying TEE implementation and subjected to formal verification using Scyther, which found no attacks."
"Decentralized Cross-Network Identity Management for Blockchain Interoperation","https://scispace.com/paper/decentralized-cross-network-identity-management-for-9cmhhzl2ztip","2022","Repository","","Ghosh, Bishakh Chandra
Ramakrishna Venkatraman
Govindarajan Chander
Behl Dushyant
Karunamoorthy Dileban
Abebe Ermyas
Chakraborty, Sandip","10.48550/arxiv.2104.03277","","- **Relevance Score:** 12/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses DIDs and verifiable credentials to enable cross‑network trust; implements prototype linking trade finance and logistics networks; lacks formal models or formal methods, but discusses multi‑layer interactions and privacy/security concerns.","Interoperation for data sharing between permissioned blockchain networks relies on networks' abilities to independently authenticate requests and validate proofs accompanying the data; these typically contain digital signatures. This requires counterparty networks to know the identities and certification chains of each other's members, establishing a common trust basis rooted in identity. But permissioned networks are ad hoc consortia of existing organizations, whose network affiliations may not be well-known or well-established even though their individual identities are. In this paper, we describe an architecture and set of protocols for distributed identity management across permissioned blockchain networks to establish a trust basis for data sharing. Networks wishing to interoperate can associate with one or more distributed identity registries that maintain credentials on shared ledgers managed by groups of reputed identity providers. A network's participants possess self-sovereign decentralized identities (DIDs) on these registries and can obtain privacy-preserving verifiable membership credentials. During interoperation, networks can securely and dynamically discover each others' latest membership lists and members' credentials. We implement a solution based on Hyperledger Indy and Aries, and demonstrate its viability and usefulness by linking a trade finance network with a trade logistics network, both built on Hyperledger Fabric. We also analyze the extensibility, security, and trustworthiness of our system. "
