"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Dynamic metamodel approach for government enterprise architecture model management","https://scispace.com/paper/dynamic-metamodel-approach-for-government-enterprise-363tmi3d4i","2019","Journal Article","Procedia Computer Science","Nur Azaliah Abu Bakar
Suraya Yaacob
Surya Sumarni Hussein
Anizah Nordin
Hasimi bin Sallehuddin","10.1016/J.PROCS.2019.11.197","https://www.sciencedirect.com/science/article/pii/S1877050919319088/pdf?md5=98d030ccc922886e67066d8e9e5ae06f&pid=1-s2.0-S1877050919319088-main.pdf","… that interrelate through formal (governance) and informal (… the metamodels criteria, behaviours and the constraints. … whereby all requirement and business instantiation now can be …",""
"Responsible AI pattern catalogue: A collection of best practices for AI governance and engineering","https://scispace.com/paper/responsible-ai-pattern-catalogue-a-collection-of-best-3aylvjy8wk","2022","Journal Article","ACM Computing Surveys","Qinghua Lu
Liming Zhu
Xiwei Xu
Jon Whittle
Didar Zowghi
Aurelie Jacquet","10.1145/3626234","https://dl.acm.org/doi/pdf/10.1145/3626234","… into three groups: multi-level governance patterns, trustworthy … some further configuration and instantiation) to use internally … Additional stereotypes/metamodel elements can be added …","Responsible Artificial Intelligence (RAI) is widely considered as one of the greatest scientific challenges of our time and is key to increase the adoption of Artificial Intelligence (AI). Recently, a number of AI ethics principles frameworks have been published. However, without further guidance on best practices, practitioners are left with nothing much beyond truisms. In addition, significant efforts have been placed at algorithm level rather than system level, mainly focusing on a subset of mathematics-amenable ethical principles, such as fairness. Nevertheless, ethical issues can arise at any step of the development lifecycle, cutting across many AI and non-AI components of systems beyond AI algorithms and models. To operationalize RAI from a system perspective, in this article, we present an RAI Pattern Catalogue based on the results of a multivocal literature review. Rather than staying at the principle or algorithm level, we focus on patterns that AI system stakeholders can undertake in practice to ensure that the developed AI systems are responsible throughout the entire governance and engineering lifecycle. The RAI Pattern Catalogue classifies the patterns into three groups: multi-level governance patterns, trustworthy process patterns, and RAI-by-design product patterns. These patterns provide systematic and actionable guidance for stakeholders to implement RAI."
"Theory of Parasitic Localities in the Framework of the Philosophy of Discrete Being","https://scispace.com/paper/Ce3MMY7INI0J","","","","AA Nekludoff","","https://philarchive.org/archive/NEKTOP","… the acceptance criteria of the metamodel of the next hierarchical level. … —even if not always instantiated. This three-tier … of this study, provide a rich multi-level structure that mirrors the …",""
"Building a his supervision metamodel","https://scispace.com/paper/building-a-his-supervision-metamodel-1jbiyarlnq","2016","Proceedings Article","Service Oriented Software Engineering","Farid Lahboube
Ounsa Roudies Nissrine Souissi","10.1109/SYSOSE.2016.7542956","https://www.researchgate.net/profile/Nissrine-Souissi/publication/306112943_Building_a_HIS_supervision_metamodel/links/5cd8afcc299bf14d9590fd5f/Building-a-HIS-supervision-metamodel.pdf","… the fifth section an instantiation of the HIS_Supervision_MM in … has to overcome is the multi-level structure of the healthcare … data project (the project governance charter, processes to …","Hospital Information Systems (HIS) have become the one way to improve the quality of healthcare and the working conditions of health professionals while simultaneously searching an economic efficiency. However, the HIS implementation is a difficult and complex operation due to the wide variety of end users and professional disciplines involved in the healthcare production process. This paper proposes a methodological framework based on the Model Driven Engineering approach to overcome the problematic of a HIS deployment. It aims to provide a formal solution to this issue through a multidimensional supervision metamodel. By considering the complex system and the System of Systems paradigms, this work explores a new way to overcome the HIS complexity and expand the engineering project concepts according to the HIS context."
"Situational environmental, social and governance accounting: from ethical value elicitation to sustainability reporting","https://scispace.com/paper/situational-environmental-social-and-governance-accounting-l56mjo7h7u","2024","Book Chapter","","Vijanti Ramautar
Sjaak Brinkkemper
Óscar Pastor
Sergio España","10.1007/978-3-031-61007-3_23","https://research-portal.uu.nl/files/231470396/978-3-031-61007-3_23.pdf","… s multi-level hierarchy [15] and exemplifies how it is operationalised in this research. The M3 level describes the meta-metamodel… The product fragments are instantiated when a process …","[Background] Globally, mandates like the EU Corporate Sustainability Reporting Directive are shaping environmental, social, and governance accounting (ESGA) trends, which is crucial for enhancing organisational sustainability. Our domain-specific, model-driven technology allows creating adaptive tool support for ESGA, requiring a situational ESGA model as input. However, our experience has shown that organisations are rarely capable of expressing the method they need, so modelling the ESGA method is far from the starting point. [Aim] The objective of this work is to develop methodological support, given that it concerns a non-traditional requirements engineering process. Therefore, we will engineer a situational meta-method that allows configuring a domain-specific, model-driven technology. [Method] To develop this situational meta-method we apply a multi-case study approach and validate the meta-method by means of expert interviews. The situationality in the meta-method is an approach to cope with (a) the variety of situational factors involved in ESGA, and (b) the evolution expected in this domain in the coming years. [Result] The situational meta-method, called ESG4Orgs, has allowed us to create six ESGA methods that each align with the sustainability strategy of the case study organisations. Overall, the ESGA experts concur that ESG4Orgs is deemed understandable and useful. Our work is pertinent to policymakers shaping sustainability reporting legislation, managers seeking to enhance organisational impact, and scientists developing support for sustainability reporting. "
"Multi-perspective decision management for digitization architecture and governance","https://scispace.com/paper/multi-perspective-decision-management-for-digitization-2lhkkm0vee","2016","Proceedings Article","Enterprise Distributed Object Computing","Alfred Zimmermann
Dierk Jugel
Kurt Sandkuhl
Rainer Schmidt
Justus Bogner
Stefan Kehrer","10.1109/EDOCW.2016.7584378","","… for concrete architectural instantiations to support the digital … a fundamental and inspiring metamodel for our purpose. An … in the field of multi-level evaluations of our approach as well …","The Internet of Things, Enterprise Social Networks, Adaptive Case Management, Mobility S ystems, Analytics for Big Data, and Cloudenvironments are emerging to support smart connected i.e. digital products and services and the digital transformation. Biological metaphors of living and adaptable ecosystems provide the logical foundation for self- optimizing and resilient run-time environments for intelligent business services and related distributed information systems with service-oriented digitization architectures. We are investigatingmechanismsforflexibleadaptationandevolution of information systems with digital architecture in the context of the ongoing digital transformation. Our aim is to support flexibility and agile transformation for both business and related information systems through adaptation and dynamical evolution of their digital architectures. The present research paper investigates mechanisms of decision analytics for digitization architectures, putting a spotlight to Internet of Things architectures, by extending original enterprise architecture reference models with digitization architectures andtheirmulti- perspective architectural decision management."
"Hierarchical System of Digital Twins: A Holistic Architecture for Swarm System Analysis","https://scispace.com/paper/hierarchical-system-of-digital-twins-a-holistic-architecture-sreuhjetw6nc","","Proceedings Article","","Mouhamadou F. Ball
Jannik Laval
Loïc Lagadec","10.5220/0013258900003896","https://hal.science/hal-04932447v1/file/version_finale_modelsward_2025.pdf","… of this system, a multi-level analysis must be conducted to … goal-oriented method for instantiating DT with a specific level … propose a metamodel based on the Asset Administration …",""
"A data cube metamodel for geographic analysis involving heterogeneous dimensions","https://scispace.com/paper/a-data-cube-metamodel-for-geographic-analysis-involving-1ox53coqwa","2021","Journal Article","ISPRS international journal of geo-information","Jean-Paul Kasprzyk
Guénaël Devillet","10.3390/IJGI10020087","https://www.mdpi.com/2220-9964/10/2/87/pdf","… learning, innovation and economic governance in relation with … controlled by using integrity constraints. In [44], the COMET … are instantiated from metamodel previously described. These …","Due to their multiple sources and structures, big spatial data require adapted tools to be efficiently collected, summarized and analyzed. For this purpose, data are archived in data warehouses and explored by spatial online analytical processing (SOLAP) through dynamic maps, charts and tables. Data are thus converted in data cubes characterized by a multidimensional structure on which exploration is based. However, multiple sources often lead to several data cubes defined by heterogeneous dimensions. In particular, dimensions definition can change depending on analyzed scale, territory and time. In order to consider these three issues specific to geographic analysis, this research proposes an original data cube metamodel defined in unified modeling language (UML). Based on concepts like common dimension levels and metadimensions, the metamodel can instantiate constellations of heterogeneous data cubes allowing SOLAP to perform multiscale, multi-territory and time analysis. Afterwards, the metamodel is implemented in a relational data warehouse and validated by an operational tool designed for a social economy case study. This tool, called “Racines”, gathers and compares multidimensional data about social economy business in Belgium and France through interactive cross-border maps, charts and reports. Thanks to the metamodel, users remain independent from IT specialists regarding data exploration and integration."
"Adaptive enterprise architecture for digital transformation","https://scispace.com/paper/adaptive-enterprise-architecture-for-digital-transformation-19yg23b1zz","2015","Book Chapter","European Conference on Service-Oriented and Cloud Computing","Alfred Zimmermann
Alfred Zimmermann
Rainer Schmidt
Rainer Schmidt
Dierk Jugel
Dierk Jugel
Dierk Jugel
Michael Möhring","10.1007/978-3-319-33313-7_24","","… Layers can be instantiated by suitable technologies for the Internet of … for dynamically extending core metamodels we see a … Limitations can be found eg in the field of practical multi-level …","The Internet of Things, Enterprise Social Networks, Adaptive Case Management, Mobility systems, Analytics for Big Data, and Cloud services environments are emerging to support smart connected products and services and the digital transformation. Biological metaphors of living and adaptable ecosystems provide the logical foundation for self-optimizing and resilient run-time environments for intelligent business services and related distributed information systems with service-oriented enterprise architectures. We are investigating mechanisms for flexible adaptation and evolution for the next digital enterprise architecture systems in the context of the digital transformation. Our aim is to support flexibility and agile transformation for both business and related enterprise systems through adaptation and dynamical evolution of digital enterprise architectures. The present research paper investigates digital transformations of business and IT and integrates fundamental mappings between adaptable digital enterprise architectures and service-oriented information systems. We are putting a spotlight with the example domain – Internet of Things."
"Digital enterprise architecture-transformation for the internet of things","https://scispace.com/paper/i5AwkZ72I6AJ","","","","A Zimmermann
R Schmidt
K Sandkuhl","","https://www.researchgate.net/profile/Matthias-Wissotzki/publication/282357033_Digital_Enterprise_Architecture_-_Transformation_for_the_Internet_of_Things/links/562745bc08aeedae57dd4fdb/Digital-Enterprise-Architecture-Transformation-for-the-Internet-of-Things.pdf","… We are currently integrating metamodels for EAM and the … Layers can be instantiated by suitable technologies for the … Limitations can be found eg in the field of practical multilevel …",""
